,name,img url,ingredients,recipe,garnish,notes,url
0,French Martini,https://recipe.awesomedrinks.com/media/cocktails/french-martini.jpg.300x300_q85_crop.jpg,"[{'amount': '60.0', 'unit': 'ml', 'name': 'Vodka'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Chambord / Raspberry Liqueur'}, {'amount': '45.0', 'unit': 'ml', 'name': 'Fresh Pineapple Juice'}]","Add all ingredients to a cocktail shaker with ice and shake for 15 seconds. Strain into a chilled Nick and Nora glass. Note: This cocktail calls for fresh pressed pineapple juice.
source unknown",None,"Sweeter side of 'martini', kind of like a raspberry grandma candy; does not hide the vodka taste.",https://recipe.awesomedrinks.com/recipe/french-martini/
1,Lemon Drop,https://recipe.awesomedrinks.com/media/cocktails/lemon-drop.jpg.300x300_q85_crop.jpg,"[{'amount': '45.0', 'unit': 'ml', 'name': 'Citrus Vodka'}, {'amount': '1', 'unit': 'barspoon', 'name': 'Fine Granulated Sugar'}, {'amount': '22.5', 'unit': 'ml', 'name': 'Fresh lemon juice'}]","Shake all ingredients vigorously in a cocktail shaker for 20 seconds (to help integrate the sugar) and strain into a chilled Nick & Nora glass or Martini Glass. Cut a lemon twist over the glass to add additional oils and drop twist into the glass.

Optionally you can omit the sugar from the drink and rim the glass, but this can create a sticky mess and not integrate as well into the drink.
Home Cocktail Menu",Lemon Twist,Flavor profile closely resembling that of a lemon drop candy.,https://recipe.awesomedrinks.com/recipe/lemon-drop/
2,Midori Sour,https://recipe.awesomedrinks.com/media/cocktails/midori-sour.jpg.300x300_q85_crop.jpg,"[{'amount': '30.0', 'unit': 'ml', 'name': 'Midori Melon Liqueur'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Sour mix'}, {'amount': '60.0', 'unit': 'ml', 'name': 'Lemon-Lime Soda'}, {'amount': '1', 'unit': '', 'name': 'Luxardo Maraschino Cherry'}]","Add all ingredients except for your soda to a cocktail shaker and shake for 15 seconds. Strain into an old fashioned glass over ice. Top with lemon-lime soda and optionally garnish with a maraschino cherry.

Optionally, to 'craft' this cocktail up a bit more, use a half ounce (15ml) egg white to give it a nice white foam with an off-dry finish.
source unknown",Maraschino Cherry,A sweet candy melon with a acidic sour finish with a light carbonation.,https://recipe.awesomedrinks.com/recipe/midori-sour/
3,Pearl Harbor,https://recipe.awesomedrinks.com/media/cocktails/pearl_harbor.jpg.300x300_q85_crop.jpg,"[{'amount': '60.0', 'unit': 'ml', 'name': 'Vodka'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Midori Melon Liqueur'}, {'amount': '150.0', 'unit': 'ml', 'name': 'Pineapple Juice'}, {'amount': '3', 'unit': 'dashes', 'name': 'Rhubarb Bitters'}]","Add ice to a lowball or highball, then add vodka over the ice followed by midori liqueur. Top with the pinepple juice and either stir it (for it to taste great) or leave it layered (to look great).

Want to add a more interesting twist? Add Fee Brothers Rhubarb Bitters for a great spring time flare.
Common Man Cocktails",None,Pineapple and melon flavor profile with a refreshing moderate sweetness,https://recipe.awesomedrinks.com/recipe/pearl-harbor/
4,Sex on the Beach,https://recipe.awesomedrinks.com/media/cocktails/sex-on-the-beach.jpg.300x300_q85_crop.jpg,"[{'amount': '45.0', 'unit': 'ml', 'name': 'Vodka'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Peach Schnapps'}, {'amount': '45.0', 'unit': 'ml', 'name': 'Pineapple Juice'}, {'amount': '45.0', 'unit': 'ml', 'name': 'Cranberry Juice'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Chambord / Raspberry Liqueur'}]","Add all ingredients to a cocktail shaker and shake for 10 seconds. Strain over ice into a tall glass. For true 80's appeal, add cocktail parasole with a flagged cherry and orange. Or, just use an orange slice as your garnish.
source unknown",Orange Slice,"Sweet up front and dry in the back, with some red lollipop flavor or watermelon jolly rancher.",https://recipe.awesomedrinks.com/recipe/sex-on-the-beach/
5,Slow Comfortable Screw,https://recipe.awesomedrinks.com/media/cocktails/slow-co-screw.jpg.300x300_q85_crop.jpg,"[{'amount': '45.0', 'unit': 'ml', 'name': 'Southern Comfort'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Bourbon Whiskey'}, {'amount': '105.0', 'unit': 'ml', 'name': 'Fresh orange juice'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Sloe Gin'}]","Stir juice, southern comfort and bourbon together with ice until chilled and strain over fresh ice into a highball glass. Float with sloe gin on top (it will sink) and serve.
source unknown",None,Taste like freshly squeezed orange juice with a twang of southern comfort sweetness.,https://recipe.awesomedrinks.com/recipe/slow-comfortable-screw/
6,3 Dots and a Dash,https://recipe.awesomedrinks.com/media/cocktails/3-dots-dash.jpg.300x300_q85_crop.jpg,"[{'amount': '45.0', 'unit': 'ml', 'name': 'Martinique Rhum / Rum'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Demerara Rum'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Fresh lime juice'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Fresh orange juice'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Honey Syrup / Mix'}, {'amount': '7.5', 'unit': 'ml', 'name': 'Falernum Syrup'}, {'amount': '7.5', 'unit': 'ml', 'name': 'Allspice dram / liqueur'}, {'amount': '3', 'unit': '', 'name': 'Luxardo Maraschino Cherry'}]","Combine everything into a blender and blend at high speed for about 5 seconds. Pour into a tall glass and garnish with 3 cherries and a pineapple spear (can also stick the a blade of the pineapple in there). The three cherries are your three ""dots"" and the spear is the ""dash.""
Beachbum Berry's Sippin' Safari",Three Maraschino Cherries and a Pineapple Spear,"Distinct clove-forward flavor, allspice with a nice bite of sour lime and a finishing of warm rum and Martinique funkiness.",https://recipe.awesomedrinks.com/recipe/3-dots-and-a-dash/
7,5th & Adams,https://recipe.awesomedrinks.com/media/cocktails/5th_and_adams_QN7khf3.jpg.300x300_q85_crop.jpg,"[{'amount': '45.0', 'unit': 'ml', 'name': 'Mezcal'}, {'amount': '22.5', 'unit': 'ml', 'name': 'Ginger Simple Syrup'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Pineapple Juice'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Fresh lemon juice'}, {'amount': '2', 'unit': 'dashes', 'name': ""Peychaud's Bitters""}]","All add ingredients to a cocktail shaker with ice and shake for 15 seconds, strain into a chilled coupe glass. Or, double/triple the recipe and put it into a highball glass (because it's just too tasty not to do this).
Bestia: Italian Recipes Created in the Heart of L.A",Pineapple Spear,None,https://recipe.awesomedrinks.com/recipe/5th-adams/
8,Ancient Mariner,https://recipe.awesomedrinks.com/media/cocktails/ancient_mariner.jpg.300x300_q85_crop.jpg,"[{'amount': '30.0', 'unit': 'ml', 'name': 'Dark Jamaican rum'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Demerara Rum'}, {'amount': '22.5', 'unit': 'ml', 'name': 'Fresh lime juice'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Fresh grapefruit juice'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Demerara Simple Syrup'}, {'amount': '2', 'unit': 'dashes', 'name': 'Allspice dram / liqueur'}]","Build all ingredients in a cocktail shaker with ice and shake for 15 seconds. Dump contents of shaker into a chilled old fashioned glass, garnish and serve!

Bonus points? Score your lime wedge to make it look fancy.
Jeff Berry REMIXED",Lime wedge and mint sprig,"Rich molasses notes, a mild to moderate sweetness of allspice and demerara. Refreshing and well balanced.",https://recipe.awesomedrinks.com/recipe/ancient-mariner/
9,Aruba Ariba,https://recipe.awesomedrinks.com/media/cocktails/aruba_ariba.jpg.300x300_q85_crop.jpg,"[{'amount': '30.0', 'unit': 'ml', 'name': 'Vodka'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Light Rum'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Banana liqueur'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Coconut Rum'}, {'amount': '150.0', 'unit': 'ml', 'name': 'Fruit Punch'}]","Add all ingredients to a shaker with ice and shake for 10 seconds. Strain into a tall glass and garnish.
source unknown","Maraschino Cherry, and Pineapple Wedge","Light and fruity with coconut, pineapple, cherry and no alcohol kick",https://recipe.awesomedrinks.com/recipe/aruba-ariba/
