,name,img,ingredients,recipe,garnish,glass,url
0,9 Lives,http://www.completecocktails.com/img/d/l/9Lives.png,"[{'amount': '3/4', 'unit': 'oz', 'name': 'Spiced Rum (Cruzan)'}, {'amount': '3/4', 'unit': 'oz', 'name': 'White Rum (Cruzan Aged Light Rum)'}, {'amount': '1-1/2', 'unit': 'oz', 'name': 'Pineapple Juice'}, {'amount': '1', 'unit': 'oz', 'name': 'Orange Juice'}, {'amount': '2', 'unit': 'dashes', 'name': 'Angostura Bitters'}, {'amount': '1', 'unit': 'wedge', 'name': 'Pineapple'}]",Shake all ingredients with ice in a cocktail shaker. Strain into a glass full of ice. Garnish with a pineapple wedge and pineapple leaves. ,['Pineapple'],Any Glass,http://www.completecocktails.com/Drinks/9Lives.aspx#.ZAYBMHZByUk
1,9 Lives Cruzan,http://www.completecocktails.com/img/d/l/9LivesCruzan.png,"[{'amount': '1', 'unit': 'oz', 'name': 'Spiced Rum (Cruzan 9)'}, {'amount': '1', 'unit': 'oz', 'name': 'White Rum (Cruzan)'}, {'amount': '3', 'unit': 'oz', 'name': 'Pineapple Juice'}, {'amount': '2', 'unit': 'oz', 'name': 'Orange Juice'}, {'amount': '3', 'unit': 'dashes', 'name': 'Angostura Bitters'}, {'amount': 'null', 'unit': 'null', 'name': 'Pineapple'}]","Shake spiced rum, white rum, pineapple juice and orange juice with ice in a cocktail shaker. Strain into a glass full of ice and top with bitters. Garnish with a pineapple wedge and pineapple leaves. ",['Pineapple'],Any Glass,http://www.completecocktails.com/Drinks/9LivesCruzan.aspx#.ZAYBNHZByUk
2,Acapulco,http://www.completecocktails.com/img/g/l/RocksGlass.png,"[{'amount': '2', 'unit': 'oz', 'name': 'White Rum'}, {'amount': '1/2', 'unit': 'oz', 'name': 'Cointreau'}, {'amount': '1/2', 'unit': 'oz', 'name': 'Lime Juice'}, {'amount': '1', 'unit': 'tsp', 'name': 'Sugar'}, {'amount': '1', 'unit': 'null', 'name': 'Egg - white'}, {'amount': 'null', 'unit': 'sprig', 'name': 'Mint'}]",Shake all ingredients with ice in a cocktail shaker. Strain into a rocks glass full of ice. Garnish with a sprig of mint and serve. ,['Mint'],Rocks Glass,http://www.completecocktails.com/Drinks/Acapulco.aspx#.ZAYBOXZByUk
3,Adios Mother,http://www.completecocktails.com/img/g/l/RocksGlass.png,"[{'amount': '1', 'unit': 'oz', 'name': 'Vodka'}, {'amount': '1', 'unit': 'oz', 'name': 'White Rum'}, {'amount': '1/2', 'unit': 'oz', 'name': 'Melon Liqueur'}, {'amount': '1/2', 'unit': 'oz', 'name': 'Lemon Juice'}, {'amount': 'null', 'unit': 'dash', 'name': 'Triple Sec'}, {'amount': 'null', 'unit': 'dash', 'name': 'Blue Curacao'}, {'amount': '1', 'unit': 'tsp', 'name': 'Sugar'}]",Shake all ingredients well with ice in a cocktail shaker. Strain into a rocks glass and serve. ,[],Rocks Glass,http://www.completecocktails.com/Drinks/AdiosMother.aspx#.ZAYBPnZByUk
4,Adios Mother Iced Tea,http://www.completecocktails.com/img/d/l/AdiosMotherIcedTea.jpg,"[{'amount': '1/2', 'unit': 'oz', 'name': 'Blue Curacao'}, {'amount': '1/2', 'unit': 'oz', 'name': 'White Rum (Cruzan)'}, {'amount': '1/2', 'unit': 'oz', 'name': 'Vodka'}, {'amount': '1/2', 'unit': 'oz', 'name': 'Tequila - Silver'}, {'amount': '3', 'unit': 'oz', 'name': 'Sour Mix'}, {'amount': 'null', 'unit': 'null', 'name': 'Lemon-lime Soda'}]","Shake blue curacao, rum, vodka, tequila and sour mix with ice in a cocktail shaker. Strain into a highball glass full of ice. Fill with lemon-lime soda and serve. ",[],Highball Glass,http://www.completecocktails.com/Drinks/AdiosMotherIcedTea.aspx#.ZAYBQ3ZByUk
5,Agricole Daiquiri,http://www.completecocktails.com/img/d/l/AgricoleDaiquiri.png,"[{'amount': '2', 'unit': 'oz', 'name': 'White Rum (Clement Premiere Canne)'}, {'amount': '1/4', 'unit': 'oz', 'name': 'Simple Syrup (Clement Sirop de Canne)'}, {'amount': '1/4', 'unit': 'oz', 'name': 'Lime Juice'}, {'amount': 'null', 'unit': 'slice', 'name': 'Lime'}]","Shake rum, sugar syrup and lime juice with ice in a cocktail shaker. Strain into a chilled cocktail glass. Garnish with a slice of lime. ",['Lime'],Cocktail Glass,http://www.completecocktails.com/Drinks/AgricoleDaiquiri.aspx#.ZAYBR3ZByUk
6,Agricole Mojito,http://www.completecocktails.com/img/d/l/AgricoleMojito.png,"[{'amount': '2', 'unit': 'oz', 'name': 'White Rum (Clement Premiere Canne)'}, {'amount': '8', 'unit': 'leaves', 'name': 'Mint'}, {'amount': '3', 'unit': 'wedges', 'name': 'Lime'}, {'amount': '1/4', 'unit': 'oz', 'name': 'Simple Syrup (Clement Sirop de Canne)'}, {'amount': 'null', 'unit': 'null', 'name': 'Club Soda'}]","Muddle lime wedges, mint and sugar syrup in the bottom of a cocktail shaker. Add rum and ice, then shake well. Strain into a rocks glass full of ice. Top with a generous splash of club soda and garnish with mint. ",['Mint'],Rocks Glass,http://www.completecocktails.com/Drinks/AgricoleMojito.aspx#.ZAYBS3ZByUk
7,Almond Surfer,http://www.completecocktails.com/img/d/l/AlmondSurfer.jpg,"[{'amount': '1/2', 'unit': 'oz', 'name': 'Amaretto (Disaronno)'}, {'amount': '1/2', 'unit': 'oz', 'name': 'Coconut Rum (Malibu)'}, {'amount': '1', 'unit': 'oz', 'name': 'White Rum'}, {'amount': '1/2', 'unit': 'null', 'name': 'Pineapple Juice'}, {'amount': '1/2', 'unit': 'null', 'name': 'Cranberry Juice'}]","Add Disaronno, coconut rum and white rum to a highball glass full of ice. Fill with equal amounts pineapple juice and cranberry juice and stir. ",[],Highball Glass,http://www.completecocktails.com/Drinks/AlmondSurfer.aspx#.ZAYBUHZByUk
8,Amarula Colada,http://www.completecocktails.com/img/d/l/AmarulaColada.png,"[{'amount': '2', 'unit': 'oz', 'name': 'Amarula Cream Liqueur'}, {'amount': '1', 'unit': 'oz', 'name': 'White Rum'}, {'amount': '2', 'unit': 'oz', 'name': 'Pineapple Juice'}, {'amount': '1', 'unit': 'oz', 'name': 'Coconut Cream'}, {'amount': '1/2', 'unit': 'cup', 'name': 'Ice - crushed'}, {'amount': '1', 'unit': 'slice', 'name': 'Pineapple'}]","Blend the Amarula cream liqueur, white rum, pineapple juice, coconut cream and crushed ice until smooth. Pour into a highball glass. Garnish with a pineapple slice and pineapple leaves. ",['Pineapple'],Highball Glass,http://www.completecocktails.com/Drinks/AmarulaColada.aspx#.ZAYBWXZByUk
9,American Flyer,http://www.completecocktails.com/img/g/l/WineGlass.jpg,"[{'amount': '1-1/2', 'unit': 'oz', 'name': 'White Rum'}, {'amount': '1', 'unit': 'tbsp', 'name': 'Lime Juice'}, {'amount': '1/2', 'unit': 'tsp', 'name': 'Simple Syrup'}, {'amount': 'null', 'unit': 'null', 'name': 'Champagne chilled, to top'}]","Shake rum, lime juice and simple syrup with ice in a cocktail shaker. Strain into a chilled wine glass. Fill with chilled champagne and stir gently. ",[],Wine Glass,http://www.completecocktails.com/Drinks/AmericanFlyer.aspx#.ZAYBXnZByUk
