,name,img url,time,ingredient list,recipe,url
0,Bushmills Irish Punch,https://www.thespruceeats.com/thmb/JiVuhC_lAh_SUd1BA2kQukxnE9w=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/Irish-punch-56a173b45f9b58b7d0bf6755.jpg,30 mins,"[{'amount': '1', 'unit': 'cup', 'name': 'Irish whiskey'}, {'amount': '1/4', 'unit': 'cup', 'name': 'Scotch whisky'}, {'amount': '1 1/2', 'unit': 'cups', 'name': 'water'}, {'amount': '1/2', 'unit': 'cup', 'name': 'sour mix'}, {'amount': '2 1/2', 'unit': 'tablespoons', 'name': 'honey'}, {'amount': '4 to 5', 'unit': 'dashes', 'name': 'bitters'}, {'amount': 'null', 'unit': 'null', 'name': 'Grated nutmeg'}]","[""Gather the ingredients.\nIn a medium-sized pot, combine the whiskeys, water, sour mix, honey, and bitters\nOver medium heat, warm the mixture, stirring regularly. It should take just 10 minutes or so, but you can turn down the heat to let it brew longer (the flavor gets better with time).\nTransfer to a large heatproof punch bowl.\nServe in coffee mugs or Irish coffee glasses, garnishing each drink with shaved nutmeg. Enjoy.\nTips\nIf you're using a punch bowl, make sure it's heat resistant so the glass doesn't crack.\nThis punch can also easily be heated in a slow cooker and left on low heat so it stays nice and warm. This is particularly nice if you add extra spices because it will fill your home with a warm and inviting aroma.\nSour mix is very easy to make at home because it's essentially a lemon-lime-flavored simple syrup. Dissolve 1 cup of sugar into 1 cup of boiling water, reduce heat and simmer for 5 minutes. Remove it from the heat and stir in 1 cup each of lemon and lime juices, then let it cool before bottling.\nRecipe Variations\nWhile the recipe, as written, was designed to serve six 4-ounce servings, it can easily be doubled or tripled to fit any size crowd. Keep the ingredients in proportion as you increase the volume.\nInstead of sour mix, use 2 ounces lemon juice and 2 ounces simple syrup in the punch.\nAdd a few clove-studded orange slices and cinnamon sticks to the bowl for a little extra flavor and aroma. Both make excellent garnish options as well. You can add even more flavor by tossing a sachet of mulling spices into the punch as it warms.\nHow Strong Is an Irish Punch?\nBoth of the punch's liquors are bottled at 80 proof, which would make you think that it's going to be a strong punch. Yet, all of the nonalcoholic ingredients bring it down to a very mild 14 percent ABV (28 proof). It's just a little more potent than a glass of wine.""]",https://www.thespruceeats.com/bushmills-irish-punch-recipe-760226
1,Blood Orange Negroni Recipe,https://www.thespruceeats.com/thmb/y2hn1I0luRR0mN98NivFEfPPPc8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/blood-orange-negroni-recipe-5213333-hero-01-0c8885a072484b45a388f882ae3e6be2.jpg,5 mins,"[{'amount': '1/2', 'unit': 'ounce', 'name': 'dry vermouth'}, {'amount': '3/4', 'unit': 'ounce', 'name': 'Luxardo Bitter'}, {'amount': '3/4', 'unit': 'ounces', 'name': 'Solerno Blood Orange Liqueur'}, {'amount': '8', 'unit': 'dashes', 'name': 'Peychaud’s bitters'}, {'amount': '1 1/4', 'unit': 'ounces', 'name': 'gin'}, {'amount': '1', 'unit': 'slice', 'name': 'blood orange'}]","['Gather the ingredients.\nPour vermouth, Luxardo, Solerno, Peychaud’s, and gin into a short rocks glass.\nAdd a large ice cube and stir for 10 seconds until cold.\nGarnish with a blood orange slice, and serve.\nTip\nIf you want to make dehydrated blood orange slices for garnish, just slice up some blood orange wheels, put them in the oven at 160 F for six hours.\n\nRecipe Variations\nTo make this into a Mexican-style Negroni, you could just swap out the gin for blanco tequila, and the Solerno with Ancho Reyes liqueur. \nIf you’re more of a whiskey fan, just switch out the gin for rye whiskey, and you’ll have a Blood Orange Boulevardier.\nThe French version of this Negroni is just simply swapping out the Solerno for Grand Marnier, and the gin for cognac. \nIf you want to make a Green Fairy Negroni, swap out the dry vermouth for Dolin Chanbery Blanc vermouth, swap the Solerno for absinthe, and swap the Peychaud’s bitters for lime bitters. \nHow Strong Is a Blood Orange Negroni?\nThe calculated ABV (alcohol by volume) for the Blood Orange Negroni is 34 percent ABV or 68 proof.\nClassic Cocktails Every Drinker Should Try']",https://www.thespruceeats.com/blood-orange-negroni-recipe-5213333
2,Cranberry Moscow Mule,https://www.thespruceeats.com/thmb/DiXkX1_PtKnAYXbWpgCjedSZiW0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/cranberry-moscow-mule-5855c9ab5f9b586e02c231e8.jpg,15 mins,"[{'amount': '1', 'unit': '(12-ounce) bag', 'name': 'fresh cranberries'}, {'amount': '1/2', 'unit': 'cup', 'name': 'sugar'}, {'amount': '1', 'unit': 'cup', 'name': 'water'}, {'amount': '3/4', 'unit': 'cup', 'name': 'lime juice'}, {'amount': '1', 'unit': 'cup', 'name': 'vodka'}, {'amount': '3', 'unit': 'cups', 'name': 'ginger beer'}, {'amount': 'null', 'unit': 'null', 'name': 'Lime wedges'}, {'amount': 'null', 'unit': 'null', 'name': 'Fresh cranberries'}]","[""Add the fresh cranberries to a small saucepan. Turn on the heat and add the granulated sugar and water. Stir to combine and allow to come to a boil. Once the cranberries are soft (about 5 to 10 minutes), turn off the heat. Let cool to lukewarm. Strain the cranberries over a fine-mesh sieve. Allow the cranberry mixture to completely cool before making the cocktails.  \nStir the fresh cranberry juice, lime juice, and vodka in a large pitcher. Slowly add the ginger beer and gently stir. If making a single-serve cocktail, use about 2 ounces of vodka, 1 tablespoon of fresh lime juice, and top with ginger beer.\nMake sure to serve over ice in copper mugs. They not only look pretty but keep the cocktail super cold. Garnish with lime wedges and fresh cranberries. \nTips\nMake a virgin cranberry Moscow mule by omitting the vodka.\nServe this drink in a copper mug as it is not only the tradition, it helps keep it cold.\nAdd ice only when ready to serve, so as not to dilute the cocktail.\nReplace the homemade cranberry juice with bottled cranberry juice if you're tight on time.""]",https://www.thespruceeats.com/cranberry-moscow-mule-4119976
3,Homemade Sweet Vermouth Recipe,https://www.thespruceeats.com/thmb/pcxpYiaCk8yVY_SNG2WtKQk9tlc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/diy-sweet-vermouth-recipe-5218989-c-graham-2022-003-ca0790c83b614ec39db26d4e3247f3b1.jpg,24 hrs 20 mins,"[{'amount': '3', 'unit': 'cups', 'name': 'pinot grigio'}, {'amount': '15', 'unit': 'grams', 'name': 'orange peel'}, {'amount': '1', 'unit': 'stick', 'name': 'cinnamon'}, {'amount': '4', 'unit': 'pods', 'name': 'green cardamom'}, {'amount': '4 to 5', 'unit': 'whole', 'name': 'dried juniper berries'}, {'amount': '1', 'unit': 'teaspoon', 'name': 'chamomile'}, {'amount': '1/2', 'unit': 'teaspoon', 'name': 'dried gentian root'}, {'amount': '1/2', 'unit': 'teaspoon', 'name': 'dried lavender'}, {'amount': '1/2', 'unit': 'teaspoon', 'name': 'sage leaf'}, {'amount': '1/4', 'unit': 'teaspoon', 'name': 'wormwood'}, {'amount': '1 1/2', 'unit': 'cups', 'name': 'sherry'}]","[""Gather the ingredients.\nIn a medium saucepan, add 1 1/2 cups of white wine along with all of the botanicals. Bring to a boil over medium-high heat, remove from the heat, cover, and allow to cool slightly before transferring it to an infusion jar (at least 1 quart) with a tight lid.\nLet the wine steep for 24 hours, then strain the botanicals through a fine-mesh strainer lined with cheesecloth.\nTransfer the strained wine back into the clean jar. Fortify it by adding the remaining 1 1/2 cups of wine along with the cream sherry. Seal and shake vigorously to combine.\nFunnel into a bottle, and store in the refrigerator. Drink straight or use in your favorite sweet vermouth cocktails.\nTips\nHomemade sweet vermouth is an excellent use for cheap wine, especially when perfecting your personal recipe. Look to the bottom shelf for pinot grigio that costs just a few dollars (you'll need one 750-milliliter bottle per batch).\nSweet sherry is also inexpensive, and cream sherry is readily available. Sweeter oloroso sherry is a good substitute and, for a really sweet alternative, try Pedro Xim?nez.\nThe botanicals are easiest to find online (particularly chamomile, gentian, juniper, and wormwood). Natural food markets may also carry them as well, and supermarkets stock the more common culinary herbs.\nHow to Store and Use\nVermouth does not have the shelf life of the liquors in your bar. Since it's made entirely with wine and skips the preservative powers of liquor, this homemade sweet vermouth will only keep for a month and should be refrigerated. However, there are plenty of uses, including chilled on its own as an ap?ritif before dinner (it's nice with dessert, too). It also pairs wonderfully with gin and whiskey in cocktails like the gin and it, Negroni, and Rob Roy.\nRecipe Variations\nCustomize the sweet vermouth by adjusting any of the botanicals. Taste the infused wine before fortifying it to get a sense of the base flavor; it will be slightly intense but should still have a good bitter, citrus, floral, and spice balance. When looking for substitutes, think about the botanical's main flavor properties. For instance, wormwood can be replaced with another bitter ingredient like dandelion root, and rosemary is an excellent alternative to lavender.\nFor an extra kick, add 1/2 to 1 cup of brandy to the blend.\nIf you want to try dry vermouth, use dry sherry (e.g., fino, manzanilla, or amontillado), and have fun creating a new botanical blend.\nHow Strong Is Homemade Sweet Vermouth?\nThe strength of sweet vermouth is similar to wine, and the homemade version is similar to commercial sweet vermouth. When made with the average pinot grigio and cream sherry, the fortified wine is around 13 percent alcohol by volume (ABV); adding a little brandy brings it up to 17 percent ABV.\nHomemade Cocktail Bitters""]",https://www.thespruceeats.com/diy-sweet-vermouth-recipe-5218989
4,Pretty in Pink Cocktail Recipe,https://www.thespruceeats.com/thmb/63fn_-OOi9AtGBIYlRZnLKdjlyM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/pretty_in_pink-58ef83e45f9b582c4d009cb5.jpg,5 mins,"[{'amount': 'null', 'unit': 'null', 'name': 'Sugar'}, {'amount': '3', 'unit': 'ounces', 'name': 'vodka'}, {'amount': '1 1/2', 'unit': 'ounces', 'name': 'elderflower liqueur'}, {'amount': '2 1/2', 'unit': 'ounces', 'name': 'grapefruit juice'}, {'amount': '3/4', 'unit': 'ounce', 'name': 'lemon juice'}, {'amount': 'null', 'unit': 'sprig', 'name': 'Rosemary'}]","['Gather the ingredients.\nUse the cut lemon to coat the rim of a collins glass and dip the rim in sugar to coat.\nMix the ingredients in a shaker with ice. Shake well.\nPour into glass, without straining, and garnish with rosemary.']",https://www.thespruceeats.com/pretty-in-pink-4133957
5,Kentucky Buck Cocktail Recipe,https://www.thespruceeats.com/thmb/l3zkeYUOR3SmqA5ExReWKfHZ5Uw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/kentucky_buck_summer_cocktails-58ef80bb5f9b582c4d003666.jpg,5 mins,"[{'amount': '1', 'unit': '여기다', 'name': 'chopped and muddled strawberry'}, {'amount': '1', 'unit': 'ounce', 'name': 'lemon juice'}, {'amount': '1/2', 'unit': 'ounce', 'name': 'simple syrup'}, {'amount': '2', 'unit': 'oz.', 'name': 'Wild Turkey bourbon'}, {'amount': '2', 'unit': 'dashes', 'name': 'Angostura bitters'}, {'amount': '2', 'unit': 'oz.', 'name': 'ginger beer'}, {'amount': '여기다', 'unit': '여기다', 'name': 'strawberry'}]","['Add strawberry, lime juice and simple syrup in a cocktail shaker.\nAdd bourbon, 2 dashes bitters, and ice.\nShake and strain into a tall glass filled with ice leaving some room to top off with ginger beer.\nGarnish with a strawberry before serving.']",https://www.thespruceeats.com/kentucky-buck-4133982
6,Sparkling Borage Cocktail,https://www.thespruceeats.com/thmb/4U3VAwysHxuAk6r0RKWZ5IZPqFc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/summer-drink-147668085-58beb1353df78c353cc45218.jpg,8 hrs 3 mins,"[{'amount': '1', 'unit': 'cup', 'name': 'water'}, {'amount': '1', 'unit': 'cup', 'name': 'granulated sugar'}, {'amount': '1/2', 'unit': 'cup', 'name': 'young borage leaves and flowers'}, {'amount': '10 to 12', 'unit': 'borage', 'name': 'flowers'}, {'amount': '1', 'unit': 'cup', 'name': 'water'}, {'amount': '1 1/2', 'unit': 'ounces', 'name': 'premium gin'}, {'amount': '1/2', 'unit': 'ounce', 'name': 'elderflower liqueur'}, {'amount': '1/2', 'unit': 'ounce', 'name': 'borage simple syrup'}, {'amount': '1', 'unit': 'splash', 'name': 'lime juice'}, {'amount': '1', 'unit': 'splash', 'name': 'club soda'}, {'amount': 'null', 'unit': 'null', 'name': 'Borage flower ice cube'}]","[""Make the Borage Simple Syrup\nBorage is a fabulous cocktail ingredient because of its delicate cucumber-like flavor. It is even the traditional garnish for a Pimm's Cup and has seen a resurgence in recent years. One of the easiest ways to bring it into drinks is through a homemade simple syrup.\nFor the syrup, choose young leaves and flowers. As the plant ages, the leaves become prickly. Not only are they not much fun to handle, but they also begin to lose the desired flavor. The syrup itself is as easy as making any other simple syrup, you're simply adding the herb for flavor.\nGather the ingredients.\nIn a small saucepan, combine 1 cup water and 1 cup sugar. Over medium heat, stir until the sugar is completely dissolved and bring to a slow boil. \nAdd 1/2 cup borage leaves and flowers and stir.\nReduce the heat, cover, and simmer for about 15 minutes.\nRemove from the heat and allow to steep for at least one hour.\nStrain the borage from the syrup using a fine-mesh strainer. Bottle and refrigerate. It will be good for 2 weeks or more.\nMake the Borage Flower Ice Cubes\nSave your best borage flowers for the ice cubes. The flowers begin pink and develop a stunning blue-purple color as they mature. They look fabulous in this otherwise clear cocktail.\nMaking the floral ice is a two-step process because you'll give the flower a frozen foundation to rest on before filling the cube. You will just need to leave yourself enough time?a little over one day?to let them freeze completely.\nThis can be done with other edible flowers like pansies as well. Always be sure that your flowers are grown without chemical pesticides and fertilizers and actually safe to be eaten. Growing your own ensures that, though organic edible flowers may be found at some farmers markets and other outlets.\nFill ice cube trays halfway with distilled water and freeze.\nPlace a single borage flower on each cube.\nFill cubes the rest of the way with water and freeze.\nMake the Sparkling Borage Cocktail\nIn a cocktail shaker, pour the gin, elderflower liqueur, borage syrup, and lime juice. Fill with ice.\nShake well.\nStrain into a chilled cocktail glass.\nAdd borage flower ice cubes and top with club soda. Serve and enjoy.\nRecipe Variations\nRather than the club soda, you can use a similar lightly flavored soda or sparkling water. It's fantastic with Dry Sparkling's Lavender Soda; try other floral and herbal sodas as well. You could even add a splash of sparkling ros? wine.\nUse the borage syrup in similar lightly flavored cocktails and drinks. It adds a refreshing touch to the gin rickey and brings new life to a tall glass of lemonade.\nHow Strong Is the Sparkling Borage Cocktail?\nAs a martini-like drink, the sparkling borage cocktail is a relatively delicate one when it comes to the alcohol content. On the high side, it will be around 20 percent alcohol by volume (40 proof), though this will vary a bit. It's equivalent to similar drinks like the key lime pie martini.""]",https://www.thespruceeats.com/sparkling-borage-cocktail-recipe-4134028
7,Spicy and Spooky Bloody Marys,https://www.thespruceeats.com/thmb/eHWVmivFsvnBLxOroG33ZGA6KL0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/spicy-bloody-mary-4148044-hero-01-cc6030af7f3b4c97bb607faa7cf5c535.jpg,5 mins,"[{'amount': 'null', 'unit': 'null', 'name': 'Kalamata olives'}, {'amount': 'null', 'unit': 'null', 'name': 'ciliegine mozzarella ball'}, {'amount': '2', 'unit': 'ounces', 'name': 'vodka'}, {'amount': '4', 'unit': 'ounces', 'name': 'tomato juice'}, {'amount': '1', 'unit': 'pinch', 'name': 'celery salt'}, {'amount': '1', 'unit': 'pinch', 'name': 'ground black pepper'}, {'amount': '1/4', 'unit': 'teaspoon', 'name': 'smoked paprika'}, {'amount': '1/4', 'unit': 'teaspoon', 'name': 'cayenne pepper'}, {'amount': '1', 'unit': 'tablespoon', 'name': 'jalape?o pepper'}, {'amount': '2', 'unit': 'teaspoons', 'name': 'horseradish'}, {'amount': '2', 'unit': 'teaspoons', 'name': 'lemon juice'}, {'amount': '2', 'unit': 'dashes', 'name': 'Worcestershire sauce'}, {'amount': 'null', 'unit': 'wedge', 'name': 'Lemon'}, {'amount': '1', 'unit': 'tablespoon', 'name': 'salt'}, {'amount': '1', 'unit': 'teaspoon', 'name': 'paprika'}, {'amount': '1/2', 'unit': 'teaspoon', 'name': 'cayenne pepper'}, {'amount': 'null', 'unit': 'stalk', 'name': 'Celery'}]","['Make the Eyeballs\nGather the ingredients.\nCut the kalamata olives into small circles. You will need one little circle for each eyeball, so make sure to choose the best-looking one.\nCut a circle into each mozzarella ball and press the piece of olive inside so it sticks. Make as many as you wish. Skewer them onto long toothpicks or wood skewers.\nMake the Bloody Mary\nGather the ingredients.\nPlace the vodka, tomato juice, celery salt, black pepper, paprika, chopped jalape?o, cayenne pepper, horseradish, lemon juice and Worcestershire sauce in a cocktail shaker.\nFill the cocktail shaker with ice, place the top on, and shake vigorously.\nPrepare the Rim\nGather the ingredients.\nTake the lemon wedge and rub it on the edge of the glass that you wish to serve the bloody Mary in.\nMix together the salt, paprika, and cayenne pepper in a shallow dish until completely combined. Dip the rim of the glass into the salt mixture so that the edge is completely coated.\nPour the contents of the cocktail shaker into the salt rimmed glass.\nGarnish with the celery and the prepared eyeballs. Serve with extra lemon wedges if desired. \nRecipe Variation\nAdd some celery, shrimp, bacon, or pickled okra to jazz up your Bloody Mary.\nThe Best Tomato Juice Substitutes']",https://www.thespruceeats.com/spicy-bloody-mary-4148044
8,Guinness & Green Jelly Shot for St. Patrick's Day,https://www.thespruceeats.com/thmb/PAxNcTQR8Cm_flqHlwPZ7syOOs8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/GuinnessGreen-JellyShots-light-58b1ece45f9b5860463d6167.jpg,3 hrs 30 mins,"[{'amount': '3/4', 'unit': 'cup', 'name': 'Guinness Stout'}, {'amount': '4', 'unit': '(0.25-ounce) envelopes', 'name': 'unflavored gelatin'}, {'amount': '1/4', 'unit': 'cup', 'name': 'Irish whiskey'}, {'amount': '1 1/2', 'unit': 'cups', 'name': 'water'}, {'amount': '1/2', 'unit': 'cup', 'name': 'Irish cream liqueur'}, {'amount': '4', 'unit': 'drops', 'name': 'green food coloring'}]","['Make the Guinness Gelatin Base\nPour the Guinness into a bowl and add 3 envelopes (3 tablespoons) of gelatin. Allow this to rest for about 2 minutes.\nAdd Irish whiskey and 1 cup of hot water. Stir until the gelatin is completely dissolved.\nPour equal amounts into shot glasses, leaving enough room for the second layer.\nRefrigerate for about 20 to 30 minutes.\nTips\nYour water does not need to be boiling, but it should be very hot in order to dissolve the gelatin.\nFor this first layer, you don\'t need the gelatin to set completely. However, you do want to have a semi-solid base because the second layer will still be warm. This may cause some of the brown gelatin to seep up into the green layer. It doesn\'t look bad, it just doesn\'t have the pure green color. \nMake the Green Gelatin Layer\nIf you\'re using the same bowl for this layer, wash it first. You may not be able to see it, but there\'s likely some gelatin left inside that\'s already setting up.\nPour the Irish cream liqueur into a bowl and add 1 envelope (1 tablespoon) of gelatin. Allow this to rest for about 2 minutes.\nAdd 1/2 cup of hot water and stir until the gelatin is dissolved.\nAdd about 4 drops of green food coloring and stir. Add more drops to intensify the green if you like.\nSlowly pour the green Irish cream gelatin on top of the partially set Guinness gelatin.\nRefrigerate for 2 to 3 hours or until completely set up.\nServing Options\nAs with any jelly shot, you can serve these in a variety of ways. \nDisposable plastic shot cups.\nLarge shot glasses?those with a large round bowl work great?or old-fashioned glasses.\nAs a sheet: Pour the gelatin layers into a flat dish or pan and cut them into squares once set.\nAbout the Gelatin\nEven though these shots fall into what are popularly called ""Jell-O shots"" that name is not entirely correct. That\'s because we\'re not using the Jell-O brand of gelatin (they don\'t make an unflavored gelatin). Instead, they should technically be called ""gelatin"" or ""jelly"" shots.\nYou will find unflavored gelatin from brands like Knox in most grocery stores. It is most often found in a box that contains four envelopes, each with 1/4 ounce or 1 tablespoon of gelatin. The total amount of gelatin needed for both layers is 1 ounce or 4 tablespoons.\nIf you\'re using a gelatin other than Knox, you may need to measure out the gelatin. \nMake These Shots on the Cheap\nThere\'s no need to buy a large bottle of Irish whiskey or cream or an entire six-pack of Guinness if you don\'t want to. Of course, stocking up your bar is not a bad idea, but you can save a little money with this recipe.\nTo make the exact recipe above, pick up one bottle of Guinness (many stores offer singles), one miniature bottle of Irish whiskey, and two minis of Irish cream. If the liquor store doesn\'t have minis of an Irish cream like Baileys, another cream like RumChata works just fine.\nHow Strong Are the Guinness & Green Shots?\nWe mixed three types of alcohol into these Jell-O shots, so you would think they\'d be pretty strong, right? Not necessarily because the largest volume comes from a 5.6 percent ABV stout. Plus, we match the total alcohol with just as much water, so the final shots are relatively tame.\n\nIf you were to use Guinness Extra Stout, Jameson Irish Whiskey, and Baileys Irish Cream, the Guinness & Green would have an alcohol content of around 9 percent ABV (18 proof).\n\nIn the world of party shooters, this is pretty mild. However, as we know from Jell-O shots, it\'s very easy to keep eating and you might be drunk before you know it. No matter how great they taste, don\'t forget that these have alcohol.']",https://www.thespruceeats.com/guinness-and-amp-green-jelly-shot-recipe-4129357
9,Gillie Fix Cocktail Recipe,https://www.thespruceeats.com/thmb/GfF1e0k3TyiUbVjWRFFujVIZbKM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/gillie-fix-cocktail-4137244-002-8f8b5cd6cce14767adf47382e23c6c91.jpg,3 mins,"[{'amount': '1 1/2', 'unit': 'ounces', 'name': 'Scotch whisky'}, {'amount': '3/4', 'unit': 'ounce', 'name': 'peach brandy'}, {'amount': '1/3', 'unit': 'ounce', 'name': 'aged rum'}, {'amount': '1', 'unit': 'ounce', 'name': 'lemon juice'}, {'amount': '1', 'unit': 'ounce', 'name': 'simple syrup'}, {'amount': 'Lemon', 'unit': 'wheel', 'name': 'Lemon'}]","['Gather the ingredients.\nIn a cocktail shaker, pour the scotch, brandy, rum, lemon juice, and simple syrup. Fill with ice. \nShake well.\nStrain into a double old-fashioned glass filled with crushed ice.\nGarnish with a lemon wheel between the glass and ice. Serve and enjoy.\nMore Tips for Making a Great Gillie Fix\nThe Scotch. Glenfiddich offers a wide variety of whiskies and the 14-Year-Old recommended in the Gillie Fix is one of the core expressions. This single malt scotch is aged 14 years. The Bourbon Barrel Reserve is a U.S. exclusive release that is aged in former bourbon barrels. It\'s one of the more affordable Glenfiddich bottlings, running just under $50 on average.\nIf you cannot find this particular Glenfiddich, try out one of the brand\'s other offerings. The 12-Year-Old is the youngest of the portfolio and would also make an excellent Gillie Fix.\nThe Peach Brandy. Fruit-flavored brandies, including peach, are making a big comeback after years of decline. There are a number of great options available today, particularly if you look to the small craft distilleries.\nFor the best peach brandy, choose one that does not include extra sugars or additives. Cheap ""brandies"" which are more liqueur than brandy have been the norm on liquor store shelves for a few decades. They\'re syrupy, low-proof, and, quite honestly, not your best option for any drink. Read the labels of peach brandy very carefully.\nYou can also look for peach whiskey or try your hand at infusing brandy with fresh peaches.\nThe Rum. FThe recommended rum for this recipe is Flor de Ca?a. The brand produces some nice rums in Nicaragua. There are a few 7-year-old options available, including Blanco Reserva, Gran Reserva, and Gran Reserva 90 proof. Any of these would be an excellent addition to your bar because they\'re all great for cocktails.\nHow Strong Is the Gillie Fix?\nThree distilled spirits go into the Gillie Fix and this does ramp up the alcohol content. If you were to use the recommended brands and measurements, you can expect this cocktail to be around 20 percent ABV (40 proof). It\'s neither the lightest nor the strongest cocktail in the bar, yet it\'s good to take it easy with this one.']",https://www.thespruceeats.com/gillie-fix-cocktail-4137244
