,ingredient_amount,ingredient_unit,ingredient_name,type_string,type_num,cocktail_id,cocktail_name,url
0,60.0,ml,Vodka,Vodka,3,1129,French Martini,https://recipe.awesomedrinks.com/recipe/french-martini/
1,15.0,ml,Chambord / Raspberry Liqueur,Liqueur,10,1129,French Martini,https://recipe.awesomedrinks.com/recipe/french-martini/
2,45.0,ml,Fresh Pineapple Juice,General,0,1129,French Martini,https://recipe.awesomedrinks.com/recipe/french-martini/
3,45.0,ml,Citrus Vodka,Vodka,3,1130,Lemon Drop,https://recipe.awesomedrinks.com/recipe/lemon-drop/
4,1.0,barspoon,Fine Granulated Sugar,General,0,1130,Lemon Drop,https://recipe.awesomedrinks.com/recipe/lemon-drop/
5,22.5,ml,Fresh lemon juice,General,0,1130,Lemon Drop,https://recipe.awesomedrinks.com/recipe/lemon-drop/
6,,,Lemon Twist,Garnish,11,1130,Lemon Drop,https://recipe.awesomedrinks.com/recipe/lemon-drop/
7,30.0,ml,Midori Melon Liqueur,Liqueur,10,1131,Midori Sour,https://recipe.awesomedrinks.com/recipe/midori-sour/
8,30.0,ml,Sour mix,General,0,1131,Midori Sour,https://recipe.awesomedrinks.com/recipe/midori-sour/
9,60.0,ml,Lemon-Lime Soda,General,0,1131,Midori Sour,https://recipe.awesomedrinks.com/recipe/midori-sour/
10,1.0,,Luxardo Maraschino Cherry,General,0,1131,Midori Sour,https://recipe.awesomedrinks.com/recipe/midori-sour/
11,,,Maraschino Cherry,Garnish,11,1131,Midori Sour,https://recipe.awesomedrinks.com/recipe/midori-sour/
12,60.0,ml,Vodka,Vodka,3,1132,Pearl Harbor,https://recipe.awesomedrinks.com/recipe/pearl-harbor/
13,30.0,ml,Midori Melon Liqueur,Liqueur,10,1132,Pearl Harbor,https://recipe.awesomedrinks.com/recipe/pearl-harbor/
14,150.0,ml,Pineapple Juice,General,0,1132,Pearl Harbor,https://recipe.awesomedrinks.com/recipe/pearl-harbor/
15,3.0,dashes,Rhubarb Bitters,General,0,1132,Pearl Harbor,https://recipe.awesomedrinks.com/recipe/pearl-harbor/
16,45.0,ml,Vodka,Vodka,3,1133,Sex on the Beach,https://recipe.awesomedrinks.com/recipe/sex-on-the-beach/
17,15.0,ml,Peach Schnapps,Spirits,21,1133,Sex on the Beach,https://recipe.awesomedrinks.com/recipe/sex-on-the-beach/
18,45.0,ml,Pineapple Juice,General,0,1133,Sex on the Beach,https://recipe.awesomedrinks.com/recipe/sex-on-the-beach/
