,Unnamed: 0,type
0,0,Rum
1,1,Rum
2,2,Brandy
3,3,Liqueur
4,4,Whisky
5,5,Rum
6,6,Rum
7,7,Whisky
8,8,Gin
9,9,Liqueur
10,10,Gin
11,11,Whisky
12,12,Liqueur
13,13,Whisky
14,14,Rum
15,15,Rum
16,16,Rum
17,17,Gin
18,18,Whisky
19,19,Tequila
20,20,Gin
21,21,Gin
22,22,Brandy
23,23,Gin
24,24,Gin
25,25,Spirits
26,26,Tequila
27,27,Gin
28,28,Wine
29,29,Gin
30,30,Gin
31,31,Gin
32,32,Gin
33,33,Whisky
34,34,Whisky
35,35,Whisky
36,36,Mezcal
37,37,Gin
38,38,Whisky
39,39,Whisky
40,40,Liqueur
41,41,Brandy
42,42,Tequila
43,43,Gin
44,44,Spirits
45,45,Gin
46,46,Whisky
47,47,Brandy
48,48,Whisky
49,49,Whisky
50,50,Tequila
51,51,Gin
52,52,Liqueur
53,53,Mezcal
54,54,Vodka
55,55,Tequila
56,56,Tequila
57,57,Brandy
58,58,Rum
59,59,Gin
60,60,Whisky
61,61,Rum
62,62,Brandy
63,63,Rum
64,64,Whisky
65,65,Rum
66,66,Rum
67,67,Mezcal
68,68,Whisky
69,69,Brandy
70,70,Whisky
71,71,Tequila
72,72,Gin
73,73,Whisky
74,74,Rum
75,75,Spirits
76,76,Gin
77,77,Tequila
78,78,Liqueur
79,79,Tequila
80,80,Brandy
81,81,Rum
82,82,Whisky
83,83,Tequila
84,84,Rum
85,85,Tequila
86,86,Rum
87,87,Whisky
88,88,Whisky
89,89,Whisky
90,90,Rum
91,91,Gin
92,92,Whisky
93,93,Gin
94,94,Whisky
95,95,Gin
96,96,Liqueur
97,97,Brandy
98,98,Gin
99,99,Gin
100,100,Gin
101,101,Tequila
102,102,Liqueur
103,103,Tequila
104,104,Wine
105,105,Whisky
106,106,Rum
107,107,Gin
108,108,Tequila
109,109,Whisky
110,110,Wine
111,111,Gin
112,112,Liqueur
113,113,Rum
114,114,Whisky
115,115,Mezcal
116,116,Tequila
117,117,Gin
118,118,Gin
119,119,Gin
120,120,Gin
121,121,Tequila
122,122,Whisky
123,123,Tequila
124,124,Brandy
125,125,Mezcal
126,126,Rum
127,127,Gin
128,128,Whisky
129,129,Rum
130,130,Rum
131,131,Gin
132,132,Gin
133,133,Whisky
134,134,Brandy
135,135,Whisky
136,136,Rum
137,137,Rum
138,138,Whisky
139,139,Whisky
140,140,Whisky
141,141,Whisky
142,142,Brandy
143,143,Gin
144,144,Gin
145,145,Liqueur
146,146,Mezcal
147,147,Whisky
148,148,Rum
149,149,Rum
150,150,Gin
151,151,Whisky
152,152,Whisky
153,153,Rum
154,154,Spirits
155,155,Whisky
156,156,Rum
157,157,Rum
158,158,Whisky
159,159,Liqueur
160,160,
161,161,Whisky
162,162,Rum
163,163,Liqueur
164,164,Whisky
165,165,Whisky
166,166,Liqueur
167,167,
168,168,Rum
169,169,Whisky
170,170,Mezcal
171,171,Rum
172,172,Liqueur
173,173,Whisky
174,174,Brandy
175,175,Tequila
176,176,Gin
177,177,Whisky
178,178,Whisky
179,179,Liqueur
180,180,Whisky
181,181,Rum
182,182,Gin
183,183,Rum
184,184,Liqueur
185,185,Rum
186,186,Whisky
187,187,Whisky
188,188,Liqueur
189,189,Whisky
190,190,Brandy
191,191,Rum
192,192,Whisky
193,193,Whisky
194,194,Rum
195,195,Rum
196,196,Liqueur
197,197,Brandy
198,198,Whisky
199,199,Rum
200,200,Whisky
201,201,Whisky
202,202,Rum
203,203,Rum
204,204,Gin
205,205,Gin
206,206,Rum
207,207,Brandy
208,208,Rum
209,209,Rum
210,210,Brandy
211,211,Rum
212,212,Whisky
213,213,Whisky
214,214,Rum
215,215,Rum
216,216,Wine
217,217,Gin
218,218,Rum
219,219,Rum
220,220,Whisky
221,221,Whisky
222,222,Whisky
223,223,Gin
224,224,Whisky
225,225,Rum
226,226,Whisky
227,227,Rum
228,228,Gin
229,229,Rum
230,230,Liqueur
231,231,Rum
232,232,Whisky
233,233,Tequila
234,234,Brandy
235,235,Whisky
236,236,Whisky
237,237,Tequila
238,238,Spirits
239,239,Whisky
240,240,Whisky
241,241,Tequila
242,242,Wine
243,243,Whisky
244,244,Gin
245,245,Spirits
246,246,Tequila
247,247,Gin
248,248,Gin
249,249,Whisky
250,250,Rum
251,251,Rum
252,252,Spirits
253,253,Gin
254,254,Rum
255,255,Gin
256,256,Gin
257,257,Whisky
258,258,Mezcal
259,259,Gin
260,260,Brandy
261,261,Liqueur
262,262,Tequila
263,263,Mezcal
264,264,Brandy
265,265,Wine
266,266,Whisky
267,267,Whisky
268,268,Whisky
269,269,Mezcal
270,270,Whisky
271,271,Whisky
272,272,Whisky
273,273,Mezcal
274,274,Brandy
275,275,Gin
276,276,Brandy
277,277,Whisky
278,278,Whisky
279,279,Whisky
280,280,Rum
281,281,Brandy
282,282,Whisky
283,283,Tequila
284,284,Vodka
285,285,Gin
286,286,Gin
287,287,Rum
288,288,Wine
289,289,Whisky
290,290,Gin
291,291,Gin
292,292,Rum
293,293,Brandy
294,294,Rum
295,295,Gin
296,296,Whisky
297,297,Rum
298,298,Whisky
299,299,Brandy
300,300,Rum
301,301,Rum
302,302,Tequila
303,303,Liqueur
304,304,Whisky
305,305,Gin
306,306,Whisky
307,307,Whisky
308,308,Vodka
309,309,Liqueur
310,310,Gin
311,311,Rum
312,312,Gin
313,313,Vodka
314,314,Gin
315,315,Tequila
316,316,Whisky
317,317,Brandy
318,318,Rum
319,319,Rum
320,320,Vodka
321,321,Liqueur
322,322,Rum
323,323,Gin
324,324,Liqueur
325,325,Whisky
326,326,Liqueur
327,327,Whisky
328,328,Whisky
329,329,Rum
330,330,Rum
331,331,Liqueur
332,332,Rum
333,333,Liqueur
334,334,Tequila
335,335,Gin
336,336,Whisky
337,337,Spirits
338,338,Beer
339,339,Gin
340,340,Mezcal
341,341,Whisky
342,342,Spirits
343,343,Brandy
344,344,Gin
345,345,Wine
346,346,Rum
347,347,Gin
348,348,Spirits
349,349,Rum
350,350,Brandy
351,351,Whisky
352,352,Rum
353,353,Rum
354,354,Rum
355,355,Whisky
356,356,Whisky
357,357,Gin
358,358,Brandy
359,359,Brandy
360,360,Mezcal
361,361,Rum
362,362,Whisky
363,363,Rum
364,364,Spirits
365,365,Wine
366,366,Liqueur
367,367,Gin
368,368,Rum
369,369,Whisky
370,370,Tequila
371,371,Rum
372,372,Whisky
373,373,Rum
374,374,Whisky
375,375,Brandy
376,376,Gin
377,377,Liqueur
378,378,Rum
379,379,Wine
380,380,Brandy
381,381,Rum
382,382,Whisky
383,383,Rum
384,384,Mezcal
385,385,Whisky
386,386,Wine
387,387,Whisky
388,388,Whisky
389,389,Whisky
390,390,Gin
391,391,Whisky
392,392,Gin
393,393,Spirits
394,394,Gin
395,395,Tequila
396,396,Whisky
397,397,Liqueur
398,398,Whisky
399,399,Spirits
400,400,Gin
401,401,Whisky
402,402,Whisky
403,403,Liqueur
404,404,Wine
405,405,Spirits
406,406,Brandy
407,407,Gin
408,408,Rum
409,409,Liqueur
410,410,Whisky
411,411,Wine
412,412,Wine
413,413,Whisky
414,414,Spirits
415,415,Gin
416,416,Brandy
417,417,Spirits
418,418,Gin
419,419,Whisky
420,420,Wine
421,421,Gin
422,422,Whisky
423,423,Gin
424,424,Wine
425,425,Whisky
426,426,Liqueur
427,427,Gin
428,428,Whisky
429,429,Tequila
430,430,Gin
431,431,Liqueur
432,432,Tequila
433,433,Wine
434,434,Rum
435,435,Liqueur
436,436,Whisky
437,437,Mezcal
438,438,Rum
439,439,Wine
440,440,Whisky
441,441,Brandy
442,442,Liqueur
443,443,Whisky
444,444,Tequila
445,445,Gin
446,446,Gin
447,447,Rum
448,448,Brandy
449,449,Whisky
450,450,Gin
451,451,Gin
452,452,Rum
453,453,Wine
454,454,Whisky
455,455,Whisky
456,456,Whisky
457,457,Gin
458,458,Liqueur
459,459,Whisky
460,460,Beer
461,461,Rum
462,462,Whisky
463,463,Whisky
464,464,Brandy
465,465,Whisky
466,466,Mezcal
467,467,Gin
468,468,Mezcal
469,469,Rum
470,470,Whisky
471,471,Liqueur
472,472,Liqueur
473,473,Wine
474,474,Whisky
475,475,Whisky
476,476,Liqueur
477,477,Beer
478,478,Liqueur
479,479,Rum
480,480,Tequila
481,481,Vodka
482,482,Rum
483,483,Whisky
484,484,Gin
485,485,Spirits
486,486,Tequila
487,487,Rum
488,488,Mezcal
489,489,Whisky
490,490,Wine
491,491,Gin
492,492,Gin
493,493,Gin
494,494,Whisky
495,495,Brandy
496,496,Whisky
497,497,Liqueur
498,498,Gin
499,499,Brandy
500,500,Tequila
501,501,Whisky
502,502,Brandy
503,503,Liqueur
504,504,Tequila
505,505,Spirits
506,506,Rum
507,507,Gin
508,508,Whisky
509,509,Spirits
510,510,Tequila
511,511,Rum
512,512,Brandy
513,513,Liqueur
514,514,Whisky
515,515,Tequila
516,516,Whisky
517,517,Wine
518,518,Liqueur
519,519,Tequila
520,520,Brandy
521,521,Wine
522,522,Whisky
523,523,Rum
524,524,Gin
525,525,Whisky
526,526,Vodka
527,527,Whisky
528,528,Brandy
529,529,Wine
530,530,Gin
531,531,Rum
532,532,Liqueur
533,533,Whisky
534,534,Mezcal
535,535,Brandy
536,536,Gin
537,537,Gin
538,538,Vodka
539,539,Brandy
540,540,Whisky
541,541,Gin
542,542,Whisky
543,543,Whisky
544,544,Gin
545,545,Liqueur
546,546,Liqueur
547,547,Gin
548,548,Wine
549,549,Rum
550,550,Gin
551,551,Whisky
552,552,Mezcal
553,553,Whisky
554,554,Liqueur
555,555,Whisky
556,556,Rum
557,557,Wine
558,558,Spirits
559,559,Whisky
560,560,Whisky
561,561,Whisky
562,562,Whisky
563,563,Rum
564,564,Rum
565,565,Wine
566,566,Liqueur
567,567,Gin
568,568,Vodka
569,569,Gin
570,570,Vodka
571,571,Whisky
572,572,Spirits
573,573,Rum
574,574,Gin
575,575,Wine
576,576,Gin
577,577,Whisky
578,578,Liqueur
579,579,Whisky
580,580,Gin
581,581,Whisky
582,582,Liqueur
583,583,Gin
584,584,Whisky
585,585,Wine
586,586,Gin
587,587,Brandy
588,588,Brandy
589,589,Whisky
590,590,Gin
591,591,Whisky
592,592,Whisky
593,593,Whisky
594,594,Whisky
595,595,Gin
596,596,Mezcal
597,597,Rum
598,598,Gin
599,599,Mezcal
600,600,Whisky
601,601,Whisky
602,602,Brandy
603,603,Gin
604,604,Spirits
605,605,Whisky
606,606,Whisky
607,607,Liqueur
608,608,Whisky
609,609,Whisky
610,610,Whisky
611,611,Tequila
612,612,Liqueur
613,613,Spirits
614,614,Liqueur
615,615,Rum
616,616,Rum
617,617,Whisky
618,618,Spirits
619,619,Rum
620,620,Brandy
621,621,Whisky
622,622,Whisky
623,623,Whisky
624,624,Brandy
625,625,Rum
626,626,Tequila
627,627,Rum
628,628,Rum
629,629,Mezcal
630,630,Tequila
631,631,Whisky
632,632,Wine
633,633,Gin
634,634,Whisky
635,635,Whisky
636,636,Whisky
637,637,Brandy
638,638,Whisky
639,639,Gin
640,640,Liqueur
641,641,Gin
642,642,Gin
643,643,Rum
644,644,Rum
645,645,Tequila
646,646,Gin
647,647,Tequila
648,648,Rum
649,649,Rum
650,650,Whisky
651,651,Tequila
652,652,Gin
653,653,Spirits
654,654,Gin
655,655,Rum
656,656,Rum
657,657,Liqueur
658,658,Whisky
659,659,Whisky
660,660,Whisky
661,661,Gin
662,662,Rum
663,663,Rum
664,664,Whisky
665,665,Gin
666,666,Brandy
667,667,Brandy
668,668,Gin
669,669,Rum
670,670,Whisky
671,671,Spirits
672,672,Brandy
673,673,Spirits
674,674,Liqueur
675,675,Rum
676,676,Whisky
677,677,Gin
678,678,Brandy
679,679,Rum
680,680,Rum
681,681,Gin
682,682,Brandy
683,683,Whisky
684,684,Tequila
685,685,Brandy
686,686,Gin
687,687,Gin
688,688,Brandy
689,689,Rum
690,690,Whisky
691,691,Rum
692,692,Liqueur
693,693,Brandy
694,694,Rum
695,695,Whisky
696,696,Brandy
697,697,Rum
698,698,Whisky
699,699,Rum
700,700,Tequila
701,701,Gin
702,702,Rum
703,703,Tequila
704,704,Whisky
705,705,Mezcal
706,706,Wine
707,707,Rum
708,708,Whisky
709,709,Whisky
710,710,Whisky
711,711,Wine
712,712,Liqueur
713,713,Whisky
714,714,Gin
715,715,Whisky
716,716,Gin
717,717,Brandy
718,718,Rum
719,719,Liqueur
720,720,Gin
721,721,Gin
722,722,Whisky
723,723,Brandy
724,724,Whisky
725,725,Tequila
726,726,Tequila
727,727,Spirits
728,728,Wine
729,729,Whisky
730,730,Gin
731,731,Gin
732,732,Liqueur
733,733,Gin
734,734,Rum
735,735,Brandy
736,736,Brandy
737,737,Whisky
738,738,Gin
739,739,Spirits
740,740,Liqueur
741,741,Rum
742,742,Whisky
743,743,Tequila
744,744,Liqueur
745,745,Rum
746,746,Rum
747,747,Gin
748,748,Whisky
749,749,Vodka
750,750,Rum
751,751,Rum
752,752,Whisky
753,753,Gin
754,754,Rum
755,755,Whisky
756,756,Tequila
757,757,Gin
758,758,Liqueur
759,759,Spirits
760,760,Whisky
761,761,Wine
762,762,Whisky
763,763,Whisky
764,764,Gin
765,765,Gin
766,766,Whisky
767,767,Tequila
768,768,Gin
769,769,Liqueur
770,770,Brandy
771,771,Whisky
772,772,Gin
773,773,Wine
774,774,Mezcal
775,775,Brandy
776,776,Whisky
777,777,Liqueur
778,778,Whisky
779,779,Brandy
780,780,Brandy
781,781,Rum
782,782,Rum
783,783,Whisky
784,784,Gin
785,785,Liqueur
786,786,Spirits
787,787,Spirits
788,788,Whisky
789,789,Wine
790,790,Rum
791,791,Whisky
792,792,Gin
793,793,Rum
794,794,Whisky
795,795,Whisky
796,796,Whisky
797,797,Spirits
798,798,Brandy
799,799,Liqueur
800,800,Rum
801,801,Wine
802,802,Whisky
803,803,Wine
804,804,Brandy
805,805,Rum
806,806,Vodka
807,807,Spirits
808,808,Brandy
809,809,Wine
810,810,Brandy
811,811,Gin
812,812,Wine
813,813,Whisky
814,814,Gin
815,815,Rum
816,816,Gin
817,817,Whisky
818,818,Wine
819,819,Gin
820,820,Whisky
821,821,Liqueur
822,822,Liqueur
823,823,Brandy
824,824,Brandy
825,825,Whisky
826,826,Liqueur
827,827,Liqueur
828,828,Tequila
829,829,Rum
