"cocktail_ingredient_id","ingredient_amount","ingredient_name","ingredient_type","ingredient_unit","cocktail_id","ingredient_id","ingredient_amont"
1,"59.1","Cachaca, Sagatiba Velha","Rum","ml",1,386,""
2,"14.8","Orgeat 아몬드 시럽","General","ml",1,1300,""
3,"14.8","Elderflower liqueur, St. Germain","Liqueur","ml",1,739,""
4,"1/2","라임 (4조각으로 나눠진)","General","",1,1114,""
5,"29.6","Light rum, Flor de Cana Dry 4","Rum","ml",2,1106,""
6,"14.8","Peach liqueur, Rothman & Winter","Liqueur","ml",2,1357,""
7,"29.6","꿀 시럽 (1 : 1)","General","ml",2,971,""
8,"14.8","라임 쥬스","General","ml",2,1119,""
9,"59.1","파인애플 (잘린)","General","ml",2,1402,""
10,"59.1","민트","General","ml",2,1214,""
11,"177.4","부서진 얼음","General","ml",2,984,""
12,"1","민트","Garnish","spg",2,1213,""
13,"59.1","Cognac VSOP","Brandy","ml",3,574,""
14,"1/2","간단한 시럽","General","T",3,1657,""
15,"7","비터스, Bittermens 'Elemakule Tiki","General","dr",3,210,""
16,"1","시나몬","Garnish","pn",3,502,""
17,"1","배","Garnish","sli",3,1364,""
18,"44.4","Campari","Liqueur","ml",4,396,""
19,"14.8","Eau de vie of Douglas Fir","Brandy","ml",4,726,""
20,"14.8","Gin","Gin","ml",4,803,""
21,"14.8","Ginger liqueur, Domaine de Canton","Liqueur","ml",4,875,""
22,"14.8","레몬 주스","General","ml",4,1086,""
23,"44.4","Rye","Whisky","ml",5,1585,""
24,"14.8","Aquavit","Spirits","ml",5,117,""
25,"22.2","Cynar","Liqueur","ml",5,654,""
26,"7.4","Herbal liqueur, Green Chartreuse","Liqueur","ml",5,958,""
27,"2","비터스, Bittermens Xocolatl Mole","General","ds",5,229,""
28,"1","오렌지 껍질","Garnish","twst",5,1291,""
29,"22.2","Jamaican rum","Rum","ml",6,1018,""
30,"22.2","Cardamaro","Wine","ml",6,419,""
31,"22.2","파인애플 시럽","General","ml",6,1409,""
32,"22.2","라임 쥬스","General","ml",6,1119,""
33,"1","Absinthe","Spirits","ds",6,2,""
34,"44.4","Puerto Rican Rum, Bacardi","Rum","ml",7,1457,""
35,"25.9","Aromatized wine, Lillet Blanc","Wine","ml",7,133,""
36,"19.7","Byrrh","Wine","ml",7,374,""
37,"2","Campari","Liqueur","t",7,396,""
38,"4","비터스, Bitter Truth Orange","General","ds",7,1265,""
39,"1","오렌지 마말레이드","General","bsp",7,1289,""
40,"44.4","Scotch, Monkey Shoulder","Whisky","ml",8,1637,""
41,"14.8","Amaro Montenegro","Liqueur","ml",8,47,""
42,"14.8","레몬 주스","General","ml",8,1086,""
43,"7.4","Creme de Cacao, Tempus Fugit","Liqueur","ml",8,629,""
44,"7.4","메이플 시럽","General","ml",8,1161,""
45,"1","Allspice Dram, St. Elizabeth","Liqueur","bsp",8,26,""
46,"59.1","진저 비어","General","ml",8,870,""
47,"6","Peychaud의 비터스","General","ds",9,1390,""
48,"7.4","Sweet vermouth, Carpano Punt e Mes","Wine","ml",9,1735,""
49,"22.2","Sweet vermouth, Carpano Antica Formula","Wine","ml",9,1733,""
50,"22.2","Bianco Vermouth, Dolin","Wine","ml",9,197,""
51,"29.6","Navy strength gin, Hayman's Royal Dock","Gin","ml",9,1231,""
52,"1","레몬 껍질","General","twst",9,1087,""
53,"44.4","Amaro Montenegro","Liqueur","ml",10,47,""
54,"73.9","탄산수","General","ml",10,1672,""
55,"73.9","레몬 라임 소다","General","ml",10,1093,""
56,"2","비터스, Bitter Truth Celery","General","ds",10,438,""
57,"22.2","Gin, Rutte","Gin","ml",11,854,""
58,"22.2","Canadian whisky","Whisky","ml",11,401,""
59,"22.2","Aperol","Liqueur","ml",11,83,""
60,"22.2","Suze","Liqueur","ml",11,1725,""
61,"1","자몽 껍질","Garnish","twst",11,914,""
62,"44.4","Bourbon, Wild Turkey 101","Whisky","ml",12,346,""
63,"22.2","Amaro Nonino","Liqueur","ml",12,49,""
64,"14.8","Sweet vermouth, Carpano Punt e Mes","Wine","ml",12,1735,""
65,"1","Orange liqueur, Grand Marnier","Liqueur","bsp",12,1283,""
66,"2","Peychaud의 비터스","General","ds",12,1390,""
67,"44.4","Rhum Agricole (JM Blanc)","Rum","ml",13,1510,""
68,"14.8","Apricot liqueur","Liqueur","ml",13,110,""
69,"14.8","Falernum","Liqueur","ml",13,745,""
70,"14.8","Dry vermouth","Wine","ml",13,709,""
71,"2","오렌지 비터스","General","ds",13,1265,""
72,"1","비터스, Angostura","General","ds",13,74,""
73,"1","오렌지 껍질","Garnish","twst",13,1291,""
74,"29.6","Light rum, Plantation 3 Star","Rum","ml",14,1108,""
75,"29.6","Mezcal, Del Maguey Vida","Mezcal","ml",14,1204,""
76,"22.2","Falernum","Liqueur","ml",14,745,""
77,"14.8","라임 쥬스","General","ml",14,1119,""
78,"7.4","Allspice Dram, St. Elizabeth","Liqueur","ml",14,26,""
79,"1","라임 껍질","General","twst",14,1123,""
80,"44.4","Gin, Beefeater","Gin","ml",15,824,""
81,"44.4","오렌지 주스","General","ml",15,1276,""
82,"29.6","레몬 주스","General","ml",15,1086,""
