,ingredient_amount,ingredient_unit,ingredient_name,type_string,type_num,cocktail_id,cocktail_name,ingredient_id,db_cocktail_ingredient_name,db_ingredient_name
0,59.10,ml,"Cachaça, Sagatiba Velha",Rum,2,0,The Missionary,385,"cachaça, sagatiba velha","cachaça, sagatiba velha"
1,14.80,ml,Orgeat,General,0,0,The Missionary,1299,orgeat,orgeat
2,14.80,ml,"Elderflower liqueur, St. Germain",Liqueur,10,0,The Missionary,738,"elderflower liqueur, st. germain","elderflower liqueur, st. germain"
3,1⁄2,,Lime (Quartered),General,0,0,The Missionary,1113,lime (quartered),lime
4,29.60,ml,"Light rum, Flor de Caña Dry 4",Rum,2,1,Missionary's Downfall (Don the Beachcomber),1105,"light rum, flor de caña dry 4","light rum, flor de caña dry 4"
5,14.80,ml,"Peach liqueur, Rothman & Winter",Liqueur,10,1,Missionary's Downfall (Don the Beachcomber),1356,"peach liqueur, rothman & winter","peach liqueur, rothman & winter"
6,29.60,ml,Honey syrup (1:1),General,0,1,Missionary's Downfall (Don the Beachcomber),970,honey syrup (1:1),honey syrup
7,14.80,ml,Lime juice,General,0,1,Missionary's Downfall (Don the Beachcomber),1118,lime juice,lime juice
8,59.10,ml,Pineapple (diced),General,0,1,Missionary's Downfall (Don the Beachcomber),1401,pineapple (diced),pineapple
9,59.10,ml,Mint,General,0,1,Missionary's Downfall (Don the Beachcomber),1213,mint,mint
10,177.40,ml,Crushed ice,General,0,1,Missionary's Downfall (Don the Beachcomber),983,crushed ice,ice
11,1,spg,Mint,Garnish,11,1,Missionary's Downfall (Don the Beachcomber),1212,mint,mint
12,59.10,ml,Cognac VSOP,Brandy,5,2,Mode Pour les Jeunes,573,cognac vsop,cognac vsop
13,1⁄2,T,Simple syrup,General,0,2,Mode Pour les Jeunes,1656,simple syrup,simple syrup
14,7,dr,"Bitters, Bittermens 'Elemakule Tiki",General,0,2,Mode Pour les Jeunes,209,"bitters, bittermens 'elemakule tiki",bitters
15,1,pn,Cinnamon,Garnish,11,2,Mode Pour les Jeunes,501,cinnamon,cinnamon
16,1,sli,Pear,Garnish,11,2,Mode Pour les Jeunes,1363,pear,pear
17,44.40,ml,Campari,Liqueur,10,3,Mizz Mazza,395,campari,campari
18,14.80,ml,Eau de vie of Douglas Fir,Brandy,5,3,Mizz Mazza,725,eau de vie of douglas fir,eau de vie of douglas fir
19,14.80,ml,Gin,Gin,1,3,Mizz Mazza,802,gin,gin
20,14.80,ml,"Ginger liqueur, Domaine de Canton",Liqueur,10,3,Mizz Mazza,874,"ginger liqueur, domaine de canton","ginger liqueur, domaine de canton"
21,14.80,ml,Lemon juice,General,0,3,Mizz Mazza,1085,lemon juice,lemon juice
22,44.40,ml,Rye,Whisky,4,4,"Mockingbird, Wish Me Luck",1584,rye,rye
23,14.80,ml,Aquavit,Spirits,21,4,"Mockingbird, Wish Me Luck",116,aquavit,aquavit
24,22.20,ml,Cynar,Liqueur,10,4,"Mockingbird, Wish Me Luck",653,cynar,cynar
25,7.40,ml,"Herbal liqueur, Green Chartreuse",Liqueur,10,4,"Mockingbird, Wish Me Luck",957,"herbal liqueur, green chartreuse","herbal liqueur, green chartreuse"
26,2,ds,"Bitters, Bittermens Xocolatl Mole",General,0,4,"Mockingbird, Wish Me Luck",228,"bitters, bittermens xocolatl mole","bitters, bittermens xocolatl mole"
27,1,twst,Orange peel,Garnish,11,4,"Mockingbird, Wish Me Luck",1290,orange peel,orange peel
28,22.20,ml,Jamaican rum,Rum,2,5,Moko Jumbie,1017,jamaican rum,jamaican rum
29,22.20,ml,Cardamaro,Wine,8,5,Moko Jumbie,418,cardamaro,cardamaro
30,22.20,ml,Pineapple syrup,General,0,5,Moko Jumbie,1408,pineapple syrup,pineapple syrup
31,22.20,ml,Lime juice,General,0,5,Moko Jumbie,1118,lime juice,lime juice
32,1,ds,Absinthe,Spirits,21,5,Moko Jumbie,1,absinthe,absinthe
33,44.40,ml,"Puerto Rican Rum, Bacardi",Rum,2,6,El Momento Perfecto,1456,"puerto rican rum, bacardi","puerto rican rum, bacardi"
34,25.90,ml,"Aromatized wine, Lillet Blanc",Wine,8,6,El Momento Perfecto,132,"aromatized wine, lillet blanc","aromatized wine, lillet blanc"
35,19.70,ml,Byrrh,Wine,8,6,El Momento Perfecto,373,byrrh,byrrh
36,2,t,Campari,Liqueur,10,6,El Momento Perfecto,395,campari,campari
37,4,ds,"Bitters, Bitter Truth Orange",General,0,6,El Momento Perfecto,1264,"bitters, bitter truth orange",orange
38,1,bsp,Orange marmalade,General,0,6,El Momento Perfecto,1288,orange marmalade,orange marmalade
39,44.40,ml,"Scotch, Monkey Shoulder",Whisky,4,7,A Monkey In Winter,1636,"scotch, monkey shoulder","scotch, monkey shoulder"
40,14.80,ml,Amaro Montenegro,Liqueur,10,7,A Monkey In Winter,46,amaro montenegro,amaro montenegro
41,14.80,ml,Lemon juice,General,0,7,A Monkey In Winter,1085,lemon juice,lemon juice
42,7.40,ml,"Crème de Cacao, Tempus Fugit",Liqueur,10,7,A Monkey In Winter,628,"crème de cacao, tempus fugit","crème de cacao, tempus fugit"
43,7.40,ml,Maple syrup,General,0,7,A Monkey In Winter,1160,maple syrup,maple syrup
44,1,bsp,"Allspice Dram, St. Elizabeth",Liqueur,10,7,A Monkey In Winter,25,"allspice dram, st. elizabeth","allspice dram, st. elizabeth"
45,59.10,ml,Ginger beer,General,0,7,A Monkey In Winter,869,ginger beer,ginger beer
46,6,ds,Peychaud's Bitters,General,0,8,Montauk (NoMad),1389,peychaud's bitters,peychaud's bitters
47,7.40,ml,"Sweet vermouth, Carpano Punt e Mes",Wine,8,8,Montauk (NoMad),1734,"sweet vermouth, carpano punt e mes","sweet vermouth, carpano punt e mes"
48,22.20,ml,"Sweet vermouth, Carpano Antica Formula",Wine,8,8,Montauk (NoMad),1732,"sweet vermouth, carpano antica formula","sweet vermouth, carpano antica formula"
49,22.20,ml,"Bianco Vermouth, Dolin",Wine,8,8,Montauk (NoMad),196,"bianco vermouth, dolin","bianco vermouth, dolin"
50,29.60,ml,"Navy strength gin, Hayman's Royal Dock",Gin,1,8,Montauk (NoMad),1230,"navy strength gin, hayman's royal dock","navy strength gin, hayman's royal dock"
51,1,twst,Lemon peel,General,0,8,Montauk (NoMad),1086,lemon peel,lemon peel
52,44.40,ml,Amaro Montenegro,Liqueur,10,9,The Monte Press,46,amaro montenegro,amaro montenegro
53,73.90,ml,Soda water,General,0,9,The Monte Press,1671,soda water,soda water
54,73.90,ml,Lemon-Lime Soda,General,0,9,The Monte Press,1092,lemon-lime soda,lemon-lime soda
55,2,ds,"Bitters, Bitter Truth Celery",General,0,9,The Monte Press,437,"bitters, bitter truth celery","bitters, bitter truth"
56,22.20,ml,"Gin, Rutte",Gin,1,10,Montreal Cocktail,853,"gin, rutte","gin, rutte"
57,22.20,ml,Canadian whisky,Whisky,4,10,Montreal Cocktail,400,canadian whisky,canadian whisky
58,22.20,ml,Aperol,Liqueur,10,10,Montreal Cocktail,82,aperol,aperol
59,22.20,ml,Suze,Liqueur,10,10,Montreal Cocktail,1724,suze,suze
60,1,twst,Grapefruit peel,Garnish,11,10,Montreal Cocktail,913,grapefruit peel,grapefruit peel
61,44.40,ml,"Bourbon, Wild Turkey 101",Whisky,4,11,Moral Turpitude,345,"bourbon, wild turkey 101","bourbon, wild turkey 101"
62,22.20,ml,Amaro Nonino,Liqueur,10,11,Moral Turpitude,48,amaro nonino,amaro nonino
63,14.80,ml,"Sweet vermouth, Carpano Punt e Mes",Wine,8,11,Moral Turpitude,1734,"sweet vermouth, carpano punt e mes","sweet vermouth, carpano punt e mes"
64,1,bsp,"Orange liqueur, Grand Marnier",Liqueur,10,11,Moral Turpitude,1282,"orange liqueur, grand marnier","orange liqueur, grand marnier"
65,2,ds,Peychaud's Bitters,General,0,11,Moral Turpitude,1389,peychaud's bitters,peychaud's bitters
66,40.70,ml,Amaro Nonino,Liqueur,10,12,More Amaro,48,amaro nonino,amaro nonino
67,40.70,ml,Campari,Liqueur,10,12,More Amaro,395,campari,campari
68,40.70,ml,Cynar 70,Liqueur,10,12,More Amaro,654,cynar 70,cynar 70
69,2,ds,"Bitters, Bitter Truth Orange",General,0,12,More Amaro,1264,"bitters, bitter truth orange",orange
70,2,t,Lemon juice,General,0,12,More Amaro,1085,lemon juice,lemon juice
71,44.40,ml,Irish whiskey (Tullamore DEW),Whisky,4,13,Morning Darling,993,irish whiskey (tullamore dew),irish whiskey (tullamore dew)
72,22.20,ml,Simple syrup,General,0,13,Morning Darling,1656,simple syrup,simple syrup
73,14.80,ml,Lemon juice,General,0,13,Morning Darling,1085,lemon juice,lemon juice
74,14.80,ml,Lime juice,General,0,13,Morning Darling,1118,lime juice,lime juice
75,1,ds,"Bitters, Angostura",General,0,13,Morning Darling,73,"bitters, angostura",bitters
76,44.40,ml,"Hard cider, Martinelli's",General,0,13,Morning Darling,944,"hard cider, martinelli's","hard cider, martinelli's"
77,1,,Egg white,General,0,13,Morning Darling,730,egg white,egg
78,44.40,ml,Rhum Agricole (JM Blanc),Rum,2,14,Mount Pelée,1509,rhum agricole (jm blanc),rhum agricole (jm blanc)
79,14.80,ml,Apricot liqueur,Liqueur,10,14,Mount Pelée,109,apricot liqueur,apricot liqueur
80,14.80,ml,Falernum,Liqueur,10,14,Mount Pelée,744,falernum,falernum
81,14.80,ml,Dry vermouth,Wine,8,14,Mount Pelée,708,dry vermouth,dry vermouth
82,2,ds,Orange bitters,General,0,14,Mount Pelée,1264,orange bitters,orange bitters
83,1,ds,"Bitters, Angostura",General,0,14,Mount Pelée,73,"bitters, angostura",bitters
84,1,twst,Orange peel,Garnish,11,14,Mount Pelée,1290,orange peel,orange peel
85,29.60,ml,"Light rum, Plantation 3 Star",Rum,2,15,Mr. Manager,1107,"light rum, plantation 3 star","light rum, plantation 3 star"
86,29.60,ml,"Mezcal, Del Maguey Vida",Mezcal,20,15,Mr. Manager,1203,"mezcal, del maguey vida","mezcal, del maguey vida"
87,22.20,ml,Falernum,Liqueur,10,15,Mr. Manager,744,falernum,falernum
88,14.80,ml,Lime juice,General,0,15,Mr. Manager,1118,lime juice,lime juice
89,7.40,ml,"Allspice Dram, St. Elizabeth",Liqueur,10,15,Mr. Manager,25,"allspice dram, st. elizabeth","allspice dram, st. elizabeth"
90,1,twst,Lime peel,General,0,15,Mr. Manager,1122,lime peel,lime peel
91,44.40,ml,Demerara Rum,Rum,2,16,Mr. Swizzle,677,demerara rum,demerara rum
92,22.20,ml,"Coffee liqueur, Mr. Black",Liqueur,10,16,Mr. Swizzle,566,"coffee liqueur, mr. black","coffee liqueur, mr. black"
93,14.80,ml,"Falernum, Velvet Falernum",Liqueur,10,16,Mr. Swizzle,747,"falernum, velvet falernum","falernum, velvet falernum"
