"cocktail_id","cocktail_base","cocktail_color1","cocktail_color2","cocktail_content","cocktail_difficulty","cocktail_glass","cocktail_img","cocktail_name_en","cocktail_name_ko","cocktail_rating","cocktail_update_date","cocktail_update_by"
1,"Rum","흰색","흰색","더 미셔너리(The Missionary) 은/는 화려한 색상과 풍미로 맛있게 즐길 수 있습니다. 또한, 부드럽고 달큼한 맛이 입 안 가득 퍼져 그 향기가 일품입니다. 누구에게나 사랑받는 칵테일로, 연인, 가족과 함께 하는 시간 또는 혼자만의 여유로운 시간을 이 칵테일과 함께 더욱 특별한 순간으로 만들어보세요!",1.0,"","https://kindredcocktails.com/sites/kindredcocktails.com/files/styles/large/public/pictures/cocktail/the-missionary.jpg?itok=MT7XW_-H","The Missionary","더 미셔너리",0.0,"",0
2,"Rum","초록색","초록색","미션러리스 다운폴 (돈 더 비치콤버)(Missionary's Downfall (Don the Beachcomber)) 은/는 화려한 색상과 풍미로 맛있게 즐길 수 있습니다. 또한, 부드럽고 달큼한 맛이 입 안 가득 퍼져 그 향기가 일품입니다. 누구에게나 사랑받는 칵테일로, 연인, 가족과 함께 하는 시간 또는 혼자만의 여유로운 시간을 이 칵테일과 함께 더욱 특별한 순간으로 만들어보세요!",2.0,"","https://kindredcocktails.com/sites/kindredcocktails.com/files/styles/large/public/pictures/cocktail/_7505176-edit.jpg?itok=E-GYq9iO","Missionary's Downfall (Don the Beachcomber)","미션러리스 다운폴 (돈 더 비치콤버)",0.0,"",0
3,"Brandy","갈색","주황색","모드 프루 르 쥬노(Mode Pour les Jeunes) 은/는 화려한 색상과 풍미로 맛있게 즐길 수 있습니다. 또한, 부드럽고 달큼한 맛이 입 안 가득 퍼져 그 향기가 일품입니다. 누구에게나 사랑받는 칵테일로, 연인, 가족과 함께 하는 시간 또는 혼자만의 여유로운 시간을 이 칵테일과 함께 더욱 특별한 순간으로 만들어보세요!",2.0,"","https://kindredcocktails.com/sites/kindredcocktails.com/files/styles/large/public/pictures/cocktail/11055854_627105107423087_271633155_n.jpg?itok=gE6b9Jd0","Mode Pour les Jeunes","모드 프루 르 쥬노",0.0,"",0
4,"Liqueur","빨간색","주황색","미즈 매자(Mizz Mazza) 은/는 화려한 색상과 풍미로 맛있게 즐길 수 있습니다. 또한, 부드럽고 달큼한 맛이 입 안 가득 퍼져 그 향기가 일품입니다. 누구에게나 사랑받는 칵테일로, 연인, 가족과 함께 하는 시간 또는 혼자만의 여유로운 시간을 이 칵테일과 함께 더욱 특별한 순간으로 만들어보세요!",2.0,"","https://kindredcocktails.com/sites/kindredcocktails.com/files/styles/large/public/pictures/cocktail/mizz-mazza.jpg?itok=gu14Gs50","Mizz Mazza","미즈 매자",0.0,"",0
5,"Whisky","빨간색","갈색","목킹버드, 위시 미 럭(Mockingbird, Wish Me Luck) 은/는 화려한 색상과 풍미로 맛있게 즐길 수 있습니다. 또한, 부드럽고 달큼한 맛이 입 안 가득 퍼져 그 향기가 일품입니다. 누구에게나 사랑받는 칵테일로, 연인, 가족과 함께 하는 시간 또는 혼자만의 여유로운 시간을 이 칵테일과 함께 더욱 특별한 순간으로 만들어보세요!",2.0,"","https://kindredcocktails.com/sites/kindredcocktails.com/files/styles/large/public/pictures/cocktail/mockingbirdluck6487.jpg?itok=F5iUo5pJ","Mockingbird, Wish Me Luck","목킹버드, 위시 미 럭",0.0,"",0
6,"Rum","노란색","주황색","모코 점비(Moko Jumbie) 은/는 화려한 색상과 풍미로 맛있게 즐길 수 있습니다. 또한, 부드럽고 달큼한 맛이 입 안 가득 퍼져 그 향기가 일품입니다. 누구에게나 사랑받는 칵테일로, 연인, 가족과 함께 하는 시간 또는 혼자만의 여유로운 시간을 이 칵테일과 함께 더욱 특별한 순간으로 만들어보세요!",2.0,"","https://kindredcocktails.com/sites/kindredcocktails.com/files/styles/large/public/pictures/cocktail/mokojombie6173.jpg?itok=TLuLrcw8","Moko Jumbie","모코 점비",0.0,"",0
7,"Rum","주황색","노란색","엘 모멘토 퍼펙토(El Momento Perfecto) 은/는 화려한 색상과 풍미로 맛있게 즐길 수 있습니다. 또한, 부드럽고 달큼한 맛이 입 안 가득 퍼져 그 향기가 일품입니다. 누구에게나 사랑받는 칵테일로, 연인, 가족과 함께 하는 시간 또는 혼자만의 여유로운 시간을 이 칵테일과 함께 더욱 특별한 순간으로 만들어보세요!",2.0,"","https://kindredcocktails.com/sites/kindredcocktails.com/files/styles/large/public/pictures/cocktail/el-momento-perfecto.jpg?itok=99VfGOy0","El Momento Perfecto","엘 모멘토 퍼펙토",0.0,"",0
8,"Whisky","노란색","흰색","어 모키 인 윈터(A Monkey In Winter) 은/는 화려한 색상과 풍미로 맛있게 즐길 수 있습니다. 또한, 부드럽고 달큼한 맛이 입 안 가득 퍼져 그 향기가 일품입니다. 누구에게나 사랑받는 칵테일로, 연인, 가족과 함께 하는 시간 또는 혼자만의 여유로운 시간을 이 칵테일과 함께 더욱 특별한 순간으로 만들어보세요!",2.0,"","https://kindredcocktails.com/sites/kindredcocktails.com/files/styles/large/public/pictures/cocktail/a-monkey-in-winter.jpg?itok=_FHsvkGa","A Monkey In Winter","어 모키 인 윈터",0.0,"",0
9,"Gin","갈색","주황색","몬토크 (노마드)(Montauk (NoMad)) 은/는 화려한 색상과 풍미로 맛있게 즐길 수 있습니다. 또한, 부드럽고 달큼한 맛이 입 안 가득 퍼져 그 향기가 일품입니다. 누구에게나 사랑받는 칵테일로, 연인, 가족과 함께 하는 시간 또는 혼자만의 여유로운 시간을 이 칵테일과 함께 더욱 특별한 순간으로 만들어보세요!",2.0,"","https://kindredcocktails.com/sites/kindredcocktails.com/files/styles/large/public/pictures/cocktail/79C354F6-A692-4DA0-A412-06C3CFF55F84.jpeg?itok=oVjJ1I31","Montauk (NoMad)","몬토크 (노마드)",0.0,"",0
10,"Liqueur","노란색","흰색","더 몬테 프레스(The Monte Press) 은/는 화려한 색상과 풍미로 맛있게 즐길 수 있습니다. 또한, 부드럽고 달큼한 맛이 입 안 가득 퍼져 그 향기가 일품입니다. 누구에게나 사랑받는 칵테일로, 연인, 가족과 함께 하는 시간 또는 혼자만의 여유로운 시간을 이 칵테일과 함께 더욱 특별한 순간으로 만들어보세요!",1.0,"","https://kindredcocktails.com/sites/kindredcocktails.com/files/styles/large/public/pictures/cocktail/img_1896.jpg?itok=uQJPxHts","The Monte Press","더 몬테 프레스",0.0,"",0
