,ingredient_amount,ingredient_unit,ingredient_name,type_string,type_num,cocktail_id,cocktail_name,url
0,22.180125,ml,Spiced Rum,Rum,2,1361,9 Lives,http://www.completecocktails.com/Drinks/9Lives.aspx#.ZAYBMHZByUk
1,22.180125,ml,White Rum,Rum,2,1361,9 Lives,http://www.completecocktails.com/Drinks/9Lives.aspx#.ZAYBMHZByUk
2,44.36025,ml,Pineapple Juice,General,0,1361,9 Lives,http://www.completecocktails.com/Drinks/9Lives.aspx#.ZAYBMHZByUk
3,29.5735,ml,Orange Juice,General,0,1361,9 Lives,http://www.completecocktails.com/Drinks/9Lives.aspx#.ZAYBMHZByUk
4,2,dashes,Angostura Bitters,General,0,1361,9 Lives,http://www.completecocktails.com/Drinks/9Lives.aspx#.ZAYBMHZByUk
5,1,wedge,Pineapple,General,0,1361,9 Lives,http://www.completecocktails.com/Drinks/9Lives.aspx#.ZAYBMHZByUk
6,,,Pineapple,Garnish,11,1361,9 Lives,http://www.completecocktails.com/Drinks/9Lives.aspx#.ZAYBMHZByUk
7,29.5735,ml,Spiced Rum,Rum,2,1362,9 Lives Cruzan,http://www.completecocktails.com/Drinks/9LivesCruzan.aspx#.ZAYBNHZByUk
8,29.5735,ml,White Rum,Rum,2,1362,9 Lives Cruzan,http://www.completecocktails.com/Drinks/9LivesCruzan.aspx#.ZAYBNHZByUk
9,88.7205,ml,Pineapple Juice,General,0,1362,9 Lives Cruzan,http://www.completecocktails.com/Drinks/9LivesCruzan.aspx#.ZAYBNHZByUk
10,59.147,ml,Orange Juice,General,0,1362,9 Lives Cruzan,http://www.completecocktails.com/Drinks/9LivesCruzan.aspx#.ZAYBNHZByUk
11,3,dashes,Angostura Bitters,General,0,1362,9 Lives Cruzan,http://www.completecocktails.com/Drinks/9LivesCruzan.aspx#.ZAYBNHZByUk
12,,,Pineapple,Garnish,11,1362,9 Lives Cruzan,http://www.completecocktails.com/Drinks/9LivesCruzan.aspx#.ZAYBNHZByUk
13,,,Pineapple,Garnish,11,1362,9 Lives Cruzan,http://www.completecocktails.com/Drinks/9LivesCruzan.aspx#.ZAYBNHZByUk
14,59.147,ml,White Rum,Rum,2,1363,Acapulco,http://www.completecocktails.com/Drinks/Acapulco.aspx#.ZAYBOXZByUk
15,14.78675,ml,Cointreau,Liqueur,10,1363,Acapulco,http://www.completecocktails.com/Drinks/Acapulco.aspx#.ZAYBOXZByUk
16,14.78675,ml,Lime Juice,General,0,1363,Acapulco,http://www.completecocktails.com/Drinks/Acapulco.aspx#.ZAYBOXZByUk
17,1,tsp,Sugar,General,0,1363,Acapulco,http://www.completecocktails.com/Drinks/Acapulco.aspx#.ZAYBOXZByUk
