,ingredient_amount,ingredient_unit,ingredient_name,type_string,type_num,cocktail_id,cocktail_name,url
0,37.5,ml,Del Maguey Vida Clásico mezcal,Mezcal,20,2998,Cranstonian,https://www.diffordsguide.com/cocktails/recipe/16656/cranstonian
1,30,ml,Cranberry juice,General,0,2998,Cranstonian,https://www.diffordsguide.com/cocktails/recipe/16656/cranstonian
2,15,ml,Bittersweet orange-red aperitivo,Liqueur,10,2998,Cranstonian,https://www.diffordsguide.com/cocktails/recipe/16656/cranstonian
3,15,ml,Lime juice,General,0,2998,Cranstonian,https://www.diffordsguide.com/cocktails/recipe/16656/cranstonian
4,4,drop,Difford's Margarita Bitters,General,0,2998,Cranstonian,https://www.diffordsguide.com/cocktails/recipe/16656/cranstonian
5,,,Salt,Garnish,11,2998,Cranstonian,https://www.diffordsguide.com/cocktails/recipe/16656/cranstonian
6,,,chili powder rim,Garnish,11,2998,Cranstonian,https://www.diffordsguide.com/cocktails/recipe/16656/cranstonian
7,,,dehydrated lime slice wheel,Garnish,11,2998,Cranstonian,https://www.diffordsguide.com/cocktails/recipe/16656/cranstonian
8,30,ml,Rutte Dry Gin,Gin,1,2999,Larkwood,https://www.diffordsguide.com/cocktails/recipe/16595/larkwood
9,22.5,ml,Becherovka liqueur,Liqueur,10,2999,Larkwood,https://www.diffordsguide.com/cocktails/recipe/16595/larkwood
10,22.5,ml,Luxardo Maraschino liqueur,Liqueur,10,2999,Larkwood,https://www.diffordsguide.com/cocktails/recipe/16595/larkwood
11,22.5,ml,Lime juice,General,0,2999,Larkwood,https://www.diffordsguide.com/cocktails/recipe/16595/larkwood
12,,,Lime slice wheel on rim,Garnish,11,2999,Larkwood,https://www.diffordsguide.com/cocktails/recipe/16595/larkwood
13,45,ml,Bepi Tosolini Grappa di Moscato,Brandy,5,3000,Ve.n.to,https://www.diffordsguide.com/cocktails/recipe/16591/vento
14,15,ml,Chamomile liqueur,Liqueur,10,3000,Ve.n.to,https://www.diffordsguide.com/cocktails/recipe/16591/vento
15,15,ml,Honey syrup (3:1),General,0,3000,Ve.n.to,https://www.diffordsguide.com/cocktails/recipe/16591/vento
16,25,ml,Lemon juice,General,0,3000,Ve.n.to,https://www.diffordsguide.com/cocktails/recipe/16591/vento
17,15,ml,Pasteurised egg white (or aquafaba),General,0,3000,Ve.n.to,https://www.diffordsguide.com/cocktails/recipe/16591/vento
18,,,Lemon zest twist,Garnish,11,3000,Ve.n.to,https://www.diffordsguide.com/cocktails/recipe/16591/vento
19,,,white grape,Garnish,11,3000,Ve.n.to,https://www.diffordsguide.com/cocktails/recipe/16591/vento
20,30,ml,Bourbon whiskey,Whisky,4,3001,Orléans,https://www.diffordsguide.com/cocktails/recipe/16512/orleans
21,15,ml,Straight rye whiskey,Whisky,4,3001,Orléans,https://www.diffordsguide.com/cocktails/recipe/16512/orleans
22,7.5,ml,American single malt whiskey,Whisky,4,3001,Orléans,https://www.diffordsguide.com/cocktails/recipe/16512/orleans
23,15,ml,Averna Amaro,Liqueur,10,3001,Orléans,https://www.diffordsguide.com/cocktails/recipe/16512/orleans
24,7.5,ml,Bittersweet orange-red aperitivo,Liqueur,10,3001,Orléans,https://www.diffordsguide.com/cocktails/recipe/16512/orleans
25,,,Orange zest twist expressed,Garnish,11,3001,Orléans,https://www.diffordsguide.com/cocktails/recipe/16512/orleans
26,,,dehydrated orange slice wheel,Garnish,11,3001,Orléans,https://www.diffordsguide.com/cocktails/recipe/16512/orleans
27,45,ml,Rutte Old Simon Genever,Liqueur,10,3002,Flying Dutchman No. 2,https://www.diffordsguide.com/cocktails/recipe/17062/flying-dutchman-no-2
28,22.5,ml,Bénédictine D.O.M. liqueur,Liqueur,10,3002,Flying Dutchman No. 2,https://www.diffordsguide.com/cocktails/recipe/17062/flying-dutchman-no-2
29,22.5,ml,Yellow Chartreuse liqueur,Liqueur,10,3002,Flying Dutchman No. 2,https://www.diffordsguide.com/cocktails/recipe/17062/flying-dutchman-no-2
30,22.5,ml,Lemon juice,General,0,3002,Flying Dutchman No. 2,https://www.diffordsguide.com/cocktails/recipe/17062/flying-dutchman-no-2
31,,,Dehydrated lemon slice wheel on rim,Garnish,11,3002,Flying Dutchman No. 2,https://www.diffordsguide.com/cocktails/recipe/17062/flying-dutchman-no-2
32,60,ml,Blended Scotch whisky,Whisky,4,3003,Tale Of Two Roberts,https://www.diffordsguide.com/cocktails/recipe/16422/tale-of-two-roberts
33,30,ml,Rosso/rouge (sweet) vermouth,Wine,8,3003,Tale Of Two Roberts,https://www.diffordsguide.com/cocktails/recipe/16422/tale-of-two-roberts
34,7.5,ml,Bénédictine D.O.M. liqueur,Liqueur,10,3003,Tale Of Two Roberts,https://www.diffordsguide.com/cocktails/recipe/16422/tale-of-two-roberts
35,2,dash,La Fée Parisienne absinthe,Spirits,21,3003,Tale Of Two Roberts,https://www.diffordsguide.com/cocktails/recipe/16422/tale-of-two-roberts
36,,,Lemon zest twist,Garnish,11,3003,Tale Of Two Roberts,https://www.diffordsguide.com/cocktails/recipe/16422/tale-of-two-roberts
37,,,cookie,Garnish,11,3003,Tale Of Two Roberts,https://www.diffordsguide.com/cocktails/recipe/16422/tale-of-two-roberts
38,22.5,ml,Fernet liqueur,Liqueur,10,3004,Chef's Kiss,https://www.diffordsguide.com/cocktails/recipe/17063/chefs-kiss
39,22.5,ml,Yellow Chartreuse liqueur,Liqueur,10,3004,Chef's Kiss,https://www.diffordsguide.com/cocktails/recipe/17063/chefs-kiss
40,22.5,ml,Lime juice,General,0,3004,Chef's Kiss,https://www.diffordsguide.com/cocktails/recipe/17063/chefs-kiss
41,15,ml,"sugar syrup, Demerara/Muscovado/Brown sugar (2:1)",General,0,3004,Chef's Kiss,https://www.diffordsguide.com/cocktails/recipe/17063/chefs-kiss
42,,,Dehydrated lime slice wheel,Garnish,11,3004,Chef's Kiss,https://www.diffordsguide.com/cocktails/recipe/17063/chefs-kiss
