,ingredient_name,type_string,cocktail_id,url
0,abasolo mexican corn whisky,Whisky,3166.0,https://www.diffordsguide.com/cocktails/recipe/13233/appease-the-cheese
1,absinthe,Spirits,953.0,
2,absinthe dashes,Garnish,1283.0,https://recipe.awesomedrinks.com/recipe/rattlesnake/
3,"absinthe rouge, amerique 1912",Spirits,166.0,
4,"absinthe, atelier vie toulouse red",Spirits,165.0,
5,"absinthe, copper & kings absinthe superiore",Spirits,150.0,
6,"absinthe, lucid",Spirits,64.0,
7,"absinthe, mata hari",Spirits,1072.0,
8,"absinthe, pernod",Spirits,1264.0,https://recipe.awesomedrinks.com/recipe/sazerac/
9,acai liqueur,Liqueur,2819.0,http://www.completecocktails.com/Drinks/SaoPauloSour.aspx#.ZAYt1XZByUk
10,acerola,General,2815.0,http://www.completecocktails.com/Drinks/Sambatini.aspx#.ZAYts3ZByUk
11,acerola liqueur,Liqueur,2251.0,http://www.completecocktails.com/Drinks/GlobeTrotterMartini.aspx#.ZAYYZHZByUk
12,acid phosphate,General,585.0,
13,advocaat,Liqueur,2936.0,http://www.completecocktails.com/Drinks/CheekyWitch.aspx#.ZAYx_XZByUk
14,agave syrup,General,26.0,
15,aged rum,Rum,1156.0,https://recipe.awesomedrinks.com/recipe/krakatoa/
16,agua fresca,General,403.0,
17,aguardiente,Spirits,1389.0,http://www.completecocktails.com/Drinks/BaliHai.aspx#.ZAYByXZByUk
18,akashi-tai daiginjo genshu sake,Spirits,3088.0,https://www.diffordsguide.com/cocktails/recipe/14977/manhattan-goes-tokyo
19,akashi-tai ginjo yuzushu,Liqueur,3538.0,https://www.diffordsguide.com/cocktails/recipe/4977/back-to-the-origin
20,akashi-tai shiraume ginjo umeshu,Liqueur,3118.0,https://www.diffordsguide.com/cocktails/recipe/15055/bonsai
21,allspice,General,2410.0,http://www.completecocktails.com/Drinks/Rumstufian.aspx#.ZAYd1nZByUk
22,allspice,Garnish,983.0,
23,allspice dram,Liqueur,965.0,
24,"allspice dram, bitter truth",Liqueur,845.0,
25,"allspice dram, st. elizabeth",Liqueur,357.0,
26,allspice tincture,Liqueur,682.0,
27,"allspice tincture, dashfire",Liqueur,289.0,
28,almond,Garnish,2564.0,http://www.completecocktails.com/Drinks/BumbleAbeja.aspx#.ZAYjjnZByUk
29,almond extract,General,1172.0,https://recipe.awesomedrinks.com/recipe/steves-rum-barrel/
30,almond milk,General,812.0,
31,almond syrup,General,521.0,
32,aloe vera juice,General,1819.0,http://www.completecocktails.com/Drinks/ForeverYoung.aspx#.ZAYMznZByUk
33,"aloe vera liqueur, chareau",Liqueur,468.0,
34,amaretto,Liqueur,1815.0,http://www.completecocktails.com/Drinks/FoamingOrgasm.aspx#.ZAYMvXZByUk
35,"amaretto, disaronno",Liqueur,3301.0,https://www.diffordsguide.com/cocktails/recipe/216/bird-of-paradise
36,"amaretto, lazzaroni",Liqueur,95.0,
37,"amargo, vallet",Liqueur,472.0,
38,amaro,Liqueur,1109.0,
39,amaro abano,Liqueur,868.0,
40,amaro ciociaro liqueur,Liqueur,3083.0,https://www.diffordsguide.com/cocktails/recipe/15745/cutter
41,amaro cora,Liqueur,862.0,
42,amaro dell'erborista,Liqueur,814.0,
43,amaro lucano,Liqueur,1063.0,
44,amaro lucano anniversario,Liqueur,610.0,
45,amaro meletti,Liqueur,3325.0,https://www.diffordsguide.com/cocktails/recipe/9897/tunnel-negroni
46,amaro montenegro,Liqueur,418.0,
47,amaro nardini,Liqueur,69.0,
48,amaro nonino,Liqueur,291.0,
49,amaro nonino quintessentia,Liqueur,3511.0,https://www.diffordsguide.com/cocktails/recipe/5038/witches-flight
50,amaro santoni,Liqueur,3029.0,https://www.diffordsguide.com/cocktails/recipe/16568/miladys-martini
51,amaro sibilla,General,518.0,
52,"amaro, amarogutta",Liqueur,473.0,
53,"amaro, cappelletti sfumato rabarbaro",Liqueur,718.0,
54,"amaro, jefferson",Liqueur,96.0,
55,"amaro, lazzaroni",Liqueur,834.0,
56,"amaro, vecchio amaro del capo",Liqueur,891.0,
57,"amaro, zcasoni 1814",Liqueur,86.0,
58,amarula cream liqueur,Liqueur,2014.0,http://www.completecocktails.com/Drinks/SwingingSafari.aspx#.ZAYRinZByUk
59,amer picon,Liqueur,989.0,
60,"amer picon, amer boudreau",Liqueur,813.0,
61,american gin,Gin,1224.0,https://recipe.awesomedrinks.com/recipe/bees-knees/
62,american single malt whiskey,Whisky,3001.0,https://www.diffordsguide.com/cocktails/recipe/16512/orleans
63,americano bianco,Wine,3316.0,https://www.diffordsguide.com/cocktails/recipe/10054/mex-martini
64,amontillado sherry,Wine,1060.0,
65,"amontillado sherry, gonzález byass viña ab",Wine,386.0,
66,"amontillado sherry, lustau dry amontillado",Wine,426.0,
67,"amontillado sherry, wisdom and warter",Wine,812.0,
68,amère sauvage,Liqueur,510.0,
69,"amère sauvage, bittermens",Liqueur,246.0,
70,ancho reyes verde chile liqueur,Liqueur,691.0,
71,anejo tequila,Tequila,1295.0,https://recipe.awesomedrinks.com/recipe/anejo-old-fashioned/
72,angostura aromatic bitters,General,3010.0,https://www.diffordsguide.com/cocktails/recipe/3245/betsy-ross
73,angostura bitters,General,1141.0,https://recipe.awesomedrinks.com/recipe/mai-kais-barrel-of-rum/
74,angostura bitters,Garnish,1283.0,https://recipe.awesomedrinks.com/recipe/rattlesnake/
75,angostura cocoa bitters,General,3422.0,https://www.diffordsguide.com/cocktails/recipe/6534/mezcal-martinez
76,angostura di amaro,Liqueur,3448.0,https://www.diffordsguide.com/cocktails/recipe/6187/amaroni
77,"anise syrup, monin",General,1108.0,
78,anisette,Liqueur,2112.0,http://www.completecocktails.com/Drinks/ApricotAniseCollins.aspx#.ZAYT0HZByUk
79,"anisette, meletti",Liqueur,670.0,
80,antica formula,Wine,3270.0,https://www.diffordsguide.com/cocktails/recipe/10505/sharon
81,aperitif,Wine,2489.0,http://www.completecocktails.com/Drinks/1970.aspx#.ZAYgpnZByUk
82,aperol,Liqueur,1171.0,https://recipe.awesomedrinks.com/recipe/social-season/
83,apple,Garnish,1006.0,
84,apple,General,810.0,
85,apple bitters,General,546.0,
86,apple brandy,Brandy,2565.0,http://www.completecocktails.com/Drinks/BunnyBonanza.aspx#.ZAYjk3ZByUk
87,"apple brandy, aged",Brandy,62.0,
88,"apple brandy, clear creek",Brandy,483.0,
89,"apple brandy, laird's bonded",Brandy,357.0,
90,"apple brandy, lairds",Brandy,810.0,
91,"apple brandy, lairds 100 proof",Brandy,1019.0,
92,"apple brandy, lairds 7.5",Brandy,667.0,
93,apple butter,General,35.0,
94,apple cider,General,1326.0,https://recipe.awesomedrinks.com/recipe/stone-wall/
95,apple cider vinegar,General,3204.0,https://www.diffordsguide.com/cocktails/recipe/3892/carta-switchel
96,apple liqueur,Liqueur,2912.0,http://www.completecocktails.com/Drinks/Accelerator.aspx#.ZAYxT3ZByUk
97,"apple liqueur, du nord",Liqueur,435.0,
98,apple puree,General,365.0,
99,apple schnapps,Liqueur,2229.0,http://www.completecocktails.com/Drinks/GinAppletonic.aspx#.ZAYXy3ZByUk
100,apple syrup,General,3421.0,https://www.diffordsguide.com/cocktails/recipe/6165/flannel
101,apple vodka,Vodka,2657.0,http://www.completecocktails.com/Drinks/GalaTemptress.aspx#.ZAYm4nZByUk
102,applejack,Brandy,260.0,
103,"applejack, lairds",Brandy,845.0,
104,apricot,Garnish,1378.0,http://www.completecocktails.com/Drinks/AprioctDaiquiri.aspx#.ZAYBlXZByUk
