,ingredient_amount,ingredient_unit,ingredient_name,type_string,type_num,cocktail_id,cocktail_name
0,59.147,ml,"Cachaça, Sagatiba Velha",Rum,2,0,The Missionary
1,14.78675,ml,Orgeat,General,0,0,The Missionary
2,14.78675,ml,"Elderflower liqueur, St. Germain",Liqueur,10,0,The Missionary
3,1⁄2,,Lime (Quartered),General,0,0,The Missionary
4,29.5735,ml,"Light rum, Flor de Caña Dry 4",Rum,2,1,Missionary's Downfall (Don the Beachcomber)
5,14.78675,ml,"Peach liqueur, Rothman & Winter",Liqueur,10,1,Missionary's Downfall (Don the Beachcomber)
6,29.5735,ml,Honey syrup (1:1),General,0,1,Missionary's Downfall (Don the Beachcomber)
7,14.78675,ml,Lime juice,General,0,1,Missionary's Downfall (Don the Beachcomber)
8,59.147,ml,Pineapple (diced),General,0,1,Missionary's Downfall (Don the Beachcomber)
9,59.147,ml,Mint,General,0,1,Missionary's Downfall (Don the Beachcomber)
10,177.441,ml,Crushed ice,General,0,1,Missionary's Downfall (Don the Beachcomber)
11,1,spg,Mint,Garnish,11,1,Missionary's Downfall (Don the Beachcomber)
12,59.147,ml,Cognac VSOP,Brandy,5,2,Mode Pour les Jeunes
13,1⁄2,T,Simple syrup,General,0,2,Mode Pour les Jeunes
14,7,dr,"Bitters, Bittermens 'Elemakule Tiki",General,0,2,Mode Pour les Jeunes
15,1,pn,Cinnamon,Garnish,11,2,Mode Pour les Jeunes
16,1,sli,Pear,Garnish,11,2,Mode Pour les Jeunes
17,44.36025,ml,Campari,Liqueur,10,3,Mizz Mazza
18,14.78675,ml,Eau de vie of Douglas Fir,Brandy,5,3,Mizz Mazza
19,14.78675,ml,Gin,Gin,1,3,Mizz Mazza
20,14.78675,ml,"Ginger liqueur, Domaine de Canton",Liqueur,10,3,Mizz Mazza
21,14.78675,ml,Lemon juice,General,0,3,Mizz Mazza
22,44.36025,ml,Rye,Whisky,4,4,"Mockingbird, Wish Me Luck"
23,14.78675,ml,Aquavit,Spirits,21,4,"Mockingbird, Wish Me Luck"
24,22.180125,ml,Cynar,Liqueur,10,4,"Mockingbird, Wish Me Luck"
25,7.393375,ml,"Herbal liqueur, Green Chartreuse",Liqueur,10,4,"Mockingbird, Wish Me Luck"
26,2,ds,"Bitters, Bittermens Xocolatl Mole",General,0,4,"Mockingbird, Wish Me Luck"
27,1,twst,Orange peel,Garnish,11,4,"Mockingbird, Wish Me Luck"
28,22.180125,ml,Jamaican rum,Rum,2,5,Moko Jumbie
29,22.180125,ml,Cardamaro,Wine,8,5,Moko Jumbie
30,22.180125,ml,Pineapple syrup,General,0,5,Moko Jumbie
31,22.180125,ml,Lime juice,General,0,5,Moko Jumbie
32,1,ds,Absinthe,Spirits,21,5,Moko Jumbie
33,44.36025,ml,"Puerto Rican Rum, Bacardi",Rum,2,6,El Momento Perfecto
34,25.8768125,ml,"Aromatized wine, Lillet Blanc",Wine,8,6,El Momento Perfecto
35,19.715666666666664,ml,Byrrh,Wine,8,6,El Momento Perfecto
36,2,t,Campari,Liqueur,10,6,El Momento Perfecto
37,4,ds,"Bitters, Bitter Truth Orange",General,0,6,El Momento Perfecto
38,1,bsp,Orange marmalade,General,0,6,El Momento Perfecto
39,44.36025,ml,"Scotch, Monkey Shoulder",Whisky,4,7,A Monkey In Winter
40,14.78675,ml,Amaro Montenegro,Liqueur,10,7,A Monkey In Winter
41,14.78675,ml,Lemon juice,General,0,7,A Monkey In Winter
42,7.393375,ml,"Crème de Cacao, Tempus Fugit",Liqueur,10,7,A Monkey In Winter
43,7.393375,ml,Maple syrup,General,0,7,A Monkey In Winter
44,1,bsp,"Allspice Dram, St. Elizabeth",Liqueur,10,7,A Monkey In Winter
45,59.147,ml,Ginger beer,General,0,7,A Monkey In Winter
46,6,ds,Peychaud's Bitters,General,0,8,Montauk (NoMad)
47,7.393375,ml,"Sweet vermouth, Carpano Punt e Mes",Wine,8,8,Montauk (NoMad)
48,22.180125,ml,"Sweet vermouth, Carpano Antica Formula",Wine,8,8,Montauk (NoMad)
49,22.180125,ml,"Bianco Vermouth, Dolin",Wine,8,8,Montauk (NoMad)
50,29.5735,ml,"Navy strength gin, Hayman's Royal Dock",Gin,1,8,Montauk (NoMad)
51,1,twst,Lemon peel,General,0,8,Montauk (NoMad)
52,44.36025,ml,Amaro Montenegro,Liqueur,10,9,The Monte Press
53,73.93375,ml,Soda water,General,0,9,The Monte Press
54,73.93375,ml,Lemon-Lime Soda,General,0,9,The Monte Press
55,2,ds,"Bitters, Bitter Truth Celery",General,0,9,The Monte Press
56,22.180125,ml,"Gin, Rutte",Gin,1,10,Montreal Cocktail
