"recommend_ingredient_id","recommend_ingredient_1","recommend_ingredient_2","recommend_ingredient_3","recommend_ingredient_4","recommend_ingredient_5","recommend_ingredient_6","cocktail_id"
1,656,779,127,696,1478,289,1
2,472,714,411,55,168,418,3
3,717,545,169,124,781,219,4
4,40,432,718,802,423,69,5
5,1520,1031,441,373,874,88,6
6,518,534,132,525,1032,166,7
7,15,354,336,565,70,635,8
8,625,259,130,268,334,684,9
9,753,610,416,47,793,166,10
10,1687,454,1239,959,39,1510,11
11,613,632,490,259,684,210,12
12,260,470,493,246,109,67,13
13,761,728,124,15,635,659,14
14,250,231,662,693,728,872,15
15,70,635,7,336,358,98,16
16,182,995,727,1183,735,881,17
17,898,648,360,979,849,1027,18
18,625,524,265,666,259,747,19
19,45,593,136,691,250,165,20
20,391,585,150,561,128,590,21
21,779,132,518,288,187,539,22
22,1078,526,1089,43,1183,1098,23
23,684,130,625,268,523,660,24
24,156,107,332,554,420,82,25
25,598,23,82,376,301,745,26
26,476,736,1481,315,865,357,27
27,640,633,536,441,119,174,28
28,1583,930,1025,691,1680,292,29
29,667,1054,1273,1464,923,887,30
30,488,52,995,878,977,1178,31
31,109,75,897,826,1281,917,32
32,367,301,281,56,508,470,33
33,421,666,732,743,253,614,34
34,910,1539,627,1406,273,1440,35
35,748,323,784,743,794,432,36
36,464,676,470,785,765,1269,37
37,38,458,520,1006,539,598,38
38,37,145,195,657,191,179,39
39,745,454,643,10,274,373,40
40,4,284,274,773,513,87,41
41,374,806,177,542,735,1451,42
42,224,127,170,592,1613,426,43
43,274,773,513,284,225,79,44
44,1010,1213,1214,661,514,927,45
45,626,370,297,679,254,126,46
46,731,779,289,688,696,549,47
47,288,730,9,518,278,166,48
48,1168,83,754,155,471,798,49
49,475,18,762,987,934,541,50
50,577,795,564,345,329,479,51
51,443,650,1595,4,412,566,52
52,78,868,1021,514,173,995,53
53,747,722,627,791,334,18,54
54,296,561,241,293,218,167,55
55,354,565,202,472,2,714,56
56,439,355,324,618,702,794,57
57,980,959,686,1652,869,961,58
58,593,874,143,266,698,862,59
59,444,8,290,707,790,594,60
60,302,378,200,1668,712,187,61
61,726,605,543,432,95,801,62
62,769,347,751,245,270,968,63
63,132,6,534,166,21,288,64
64,771,536,1452,488,922,881,65
65,89,716,742,702,674,777,66
66,16,777,182,312,61,723,67
67,479,246,537,188,329,345,68
68,260,337,493,12,804,767,69
69,87,4,40,435,284,709,70
70,15,635,13,7,249,336,71
71,165,578,689,136,103,69,72
72,796,666,56,991,865,732,73
73,125,578,437,69,120,223,74
74,36,367,417,277,909,264,75
75,625,1271,897,663,1244,826,76
76,1107,1161,1309,907,1063,1271,77
77,289,679,650,565,660,97,78
78,1179,526,903,880,52,1280,79
79,274,43,433,284,773,87,80
80,751,182,382,783,403,632,81
81,222,340,749,446,240,642,82
82,867,1006,539,903,75,23,83
83,471,259,155,625,707,268,84
84,623,510,558,215,516,477,85
85,623,510,84,215,1120,477,86
86,164,456,821,874,842,1519,87
87,344,475,69,4,734,284,88
88,813,1544,833,874,1462,316,89
89,742,702,65,696,716,779,90
90,566,364,458,657,598,185,91
91,976,625,18,952,268,684,92
92,691,915,872,400,882,593,93
93,930,217,14,415,28,574,94
94,584,408,332,283,277,101,95
95,726,61,605,432,543,227,96
96,247,390,172,1,552,983,97
97,553,313,439,562,351,139,98
98,635,15,208,70,745,99,99
99,301,745,358,98,215,924,100
100,1584,431,1371,1460,691,593,101
101,584,94,1369,1303,1338,1104,102
102,114,814,321,108,1031,5,103
103,249,979,849,151,1027,648,104
104,568,500,201,409,725,228,105
105,428,1546,69,109,273,259,106
106,900,1369,1338,1303,101,593,107
107,156,24,767,118,337,420,108
108,127,592,42,224,557,458,109
109,246,12,67,947,118,897,110
110,795,628,299,50,485,114,111
111,398,794,1089,396,36,424,112
112,786,726,289,779,313,352,113
113,344,277,43,274,513,773,114
114,321,1031,1032,816,1017,847,115
115,356,1283,540,928,1018,1155,116
116,1377,1378,1376,399,401,542,117
117,260,118,1259,804,493,675,118
118,470,260,464,767,246,67,119
119,711,27,536,805,640,633,120
120,417,798,581,223,283,259,121
121,604,748,1616,985,140,863,122
122,910,130,1406,1539,415,896,123
123,214,1239,959,1328,10,863,124
124,717,169,761,781,3,13,125
125,218,374,585,870,1408,343,126
126,490,151,254,11,210,562,127
127,108,592,466,42,694,224,128
128,798,471,155,48,83,1063,129
129,428,354,785,593,581,549,130
130,625,684,493,23,259,334,131
131,572,1006,809,190,1655,583,132
132,21,288,534,187,518,558,133
133,712,572,35,859,131,567,134
134,288,518,634,730,278,547,135
135,344,475,87,527,240,773,136
136,872,240,415,593,691,340,137
137,238,499,967,1002,555,963,138
138,1028,1005,478,1016,988,1114,139
139,148,287,193,708,498,733,140
140,359,975,563,985,1615,121,141
141,444,290,790,59,8,23,142
142,691,1406,593,465,872,610,143
143,265,301,526,440,58,373,144
144,614,186,1527,1227,1252,1149,145
145,393,756,436,408,684,130,146
146,299,968,110,1029,1520,814,147
147,314,805,87,552,773,43,148
148,139,287,193,733,498,199,149
149,322,290,179,856,1522,510,150
150,561,27,585,536,119,20,151
151,306,408,313,433,249,978,152
152,1602,536,1097,119,711,805,153
153,500,548,681,711,527,77,154
154,670,1063,751,56,1281,217,155
155,471,83,798,473,48,34,156
156,24,107,592,420,42,127,157
157,529,288,730,732,699,278,158
158,684,244,398,130,574,334,159
159,840,266,1012,816,832,829,160
160,278,701,161,518,288,558,161
161,333,160,174,734,644,804,162
162,832,42,224,771,840,829,163
163,1467,601,936,482,1561,610,164
164,86,456,637,13,7,15,165
165,71,355,136,689,19,674,166
166,187,685,668,132,305,6,167
167,54,209,1,180,296,241,168
168,448,472,601,1531,2,363,169
169,717,781,482,124,3,234,170
170,42,127,224,840,832,108,171
171,334,660,524,791,376,684,172
172,628,102,110,96,247,295,173
173,740,43,652,274,670,718,174
174,161,633,27,1486,644,511,175
175,287,139,193,498,148,708,176
176,514,1223,1089,1290,1373,526,177
177,426,42,694,127,735,758,178
178,487,354,565,202,194,478,179
179,398,334,657,290,436,666,180
180,229,439,167,1300,438,43,181
181,622,362,61,1102,1326,1207,182
